Course Number,Course Name,Department,Prerequisites,Description
12060,Personal Finance,ECON,senior standing and economics (ECON) major,"Examines economic issues and problems of everyday life. Goal is to enable individuals to analyze their personal finances in order to learn how to get the most out of their income, increase income through a better understanding of possible investments and protect what they have through selecting appropriate insurance. Topics covered include budgeting and financial planning, federal income taxes, insurance, borrowing, and investment principles and strategies."
22060,Principles of Microeconomics,ECON,senior standing and economics (ECON) major,"Principles and policies affecting prices, including factor incomes, under alternative market structures. Tools developed to examine social problems, including poverty, crime, pollution and international relations."
10005,or 10034 or 10035 or 10036 or 11010 or 11011 or appropriate test score(s). This course may be used to satisfy the Liberal Education Requirements (LER).22061 Principles of Macroeconomics,ECON,senior standing and economics (ECON) major,"Principles and policies affecting aggregate production, consumption, investment and government expenditures. Includes role of money, the banking system, inflation, unemployment and economic growth."
32025,"Money, Credit and Banking",ECON,senior standing and economics (ECON) major,"Organization of our money, credit and banking system; principles and problems of monetary policy. Not open to student who have completed ECON 32030. Prerequisites: ECON 22060 and 22061.32030 International Money, Credit and Banking (3)Organization and conduct of international money, credit and banking systems. Principles and problems of monetary policy. The financial systems in the United States and in other countries and the role of international organizations such as the International Monetary Fund, World Trade Organization and World Bank are studied. Not open to students who have completed ECON 32025. Prerequisites: ECON 22060 and 22061.32040 Intermediate Microeconomic Theory and Applications (3)The study of individual choices under conditions of relative scarcity and their consequences for prices; and the allocation of resources in the economic system. Develops the analytical and theoretical tools pertinent in determining how scarce resources are allocated among competing wants and demonstrates how these tools are used in real-world applications. Prerequisites: ECON 22060 and 22061.32041 Intermediate Macroeconomic Theory and Policy (3)Analysis of how an economy such as the United States operates from an aggregate perspective. The determination for the level of income, employment, inflation, international trade and economic growth is analyzed. Discussion of monetary and fiscal policies. Prerequisites: ECON 22060 and 22061.32050 Applied Econometrics (3)Application of econometric methods such as regression analysis to a variety of economic questions. Prerequisites: MATH 11012 or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems (3)Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
22060,"and 22061.32030 International Money, Credit and Banking",ECON,senior standing and economics (ECON) major,"Organization and conduct of international money, credit and banking systems. Principles and problems of monetary policy. The financial systems in the United States and in other countries and the role of international organizations such as the International Monetary Fund, World Trade Organization and World Bank are studied. Not open to students who have completed ECON 32025. Prerequisites: ECON 22060 and 22061.32040 Intermediate Microeconomic Theory and Applications (3)The study of individual choices under conditions of relative scarcity and their consequences for prices; and the allocation of resources in the economic system. Develops the analytical and theoretical tools pertinent in determining how scarce resources are allocated among competing wants and demonstrates how these tools are used in real-world applications. Prerequisites: ECON 22060 and 22061.32041 Intermediate Macroeconomic Theory and Policy (3)Analysis of how an economy such as the United States operates from an aggregate perspective. The determination for the level of income, employment, inflation, international trade and economic growth is analyzed. Discussion of monetary and fiscal policies. Prerequisites: ECON 22060 and 22061.32050 Applied Econometrics (3)Application of econometric methods such as regression analysis to a variety of economic questions. Prerequisites: MATH 11012 or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems (3)Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
22060,and 22061.32040 Intermediate Microeconomic Theory and Applications,ECON,senior standing and economics (ECON) major,"The study of individual choices under conditions of relative scarcity and their consequences for prices; and the allocation of resources in the economic system. Develops the analytical and theoretical tools pertinent in determining how scarce resources are allocated among competing wants and demonstrates how these tools are used in real-world applications. Prerequisites: ECON 22060 and 22061.32041 Intermediate Macroeconomic Theory and Policy (3)Analysis of how an economy such as the United States operates from an aggregate perspective. The determination for the level of income, employment, inflation, international trade and economic growth is analyzed. Discussion of monetary and fiscal policies. Prerequisites: ECON 22060 and 22061.32050 Applied Econometrics (3)Application of econometric methods such as regression analysis to a variety of economic questions. Prerequisites: MATH 11012 or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems (3)Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
22060,and 22061.32041 Intermediate Macroeconomic Theory and Policy,ECON,senior standing and economics (ECON) major,"Analysis of how an economy such as the United States operates from an aggregate perspective. The determination for the level of income, employment, inflation, international trade and economic growth is analyzed. Discussion of monetary and fiscal policies. Prerequisites: ECON 22060 and 22061.32050 Applied Econometrics (3)Application of econometric methods such as regression analysis to a variety of economic questions. Prerequisites: MATH 11012 or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems (3)Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
22060,and 22061.32050 Applied Econometrics,ECON,senior standing and economics (ECON) major,"Application of econometric methods such as regression analysis to a variety of economic questions. Prerequisites: MATH 11012 or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems (3)Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
11012,or 12002; and ECON 22060 and 22061 and MIS 24056.32070 Labor Problems,ECON,senior standing and economics (ECON) major,"Surveys of the major institutions, features and functioning of the labor market, as well as some of its outstanding problems. Does not count toward economics major or minor. Not open to students who have completed ECON 42072. Prerequisites: ECON 22060 and 22061.32075 Introduction to International Trade (3)Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
22060,and 22061.32075 Introduction to International Trade,ECON,senior standing and economics (ECON) major,"Introduction to fundamental principles and problems of international trade. Covers comparative advantage, government policies affecting trade, free trade vs. protection, international institutions and exchange rates. Offered only in the Geneva program."
