Course Number,Course Name,Department,Prerequisites,Description
10001,Introduction to Environmental Technology,ENVT,special approval,"Survey course in environmental technology, including health and safety, history, environmental compliance and related issues."
10004,Toxicology,ENVT,special approval,"Examination of the terminology and classification of poisons that affect humans. Includes poison sources, modes of exposure, health effects and control measures."
10010,Environmental Hazards Identification and Control,ENVT,special approval,"In-depth study of safety methods and procedures with lab for identifying, monitoring, handling, containing and disposing of hazardous substances and hazardous conditions in the workplace."
20001,Environmental Law,ENVT,special approval,"Emphasize civil, criminal and tort liability issues; procedural and constitutional requirements; and administrative codes, rules and regulations for fire, health, safety and environmental hazards."
20004,Safety and Injury Control,ENVT,special approval,"Examination of hazards assessment including organizational, environmental and disaster planning; health and safety inspection and reporting criteria; and first aid procedures."
20006,Fire Prevention and Control,ENVT,special approval,Conditions and properties conductive for combustible states and hazards; techniques and procedures for fire extinguishing and control; preventative strategies; fire codes and alarm systems.
20008,Environmental Safety Administration,ENVT,special approval,"Organization and operation of environmental safety unit; relationships with business, governmental and community entities involved in environmental safety and hazards control."
20020,Hazardous Waste Operations and Emergency Response,ENVT,special approval,Study of hazardous waste operations and emergency response to release of hazardous materials in compliance with EPA and OSHA regulations (29CRF 1910.120).
20092,Environmental Technology Internship I,ENVT,special approval,*This on- or off-campus experience gives students an opportunity to apply learned concepts in the classroom to practical environmental technology situations.
21092,Environmental Technology Internship II,ENVT,special approval,*This on- or off-campus experience gives students an opportunity to apply learned concepts in the classroom to practical environmental technology situations. Pre/corequisite: ENVT 20092 and special approval.22095 Special Topics in Environmental Technology (3)*(Repeatable for a total of 6 credit hours) Specialized instruction oriented primarily to application of current technology developed for the field of environmental technology. Course is repeatable as the specific topics will vary.
20092,and special approval.22095 Special Topics in Environmental Technology,ENVT,special approval,*(Repeatable for a total of 6 credit hours) Specialized instruction oriented primarily to application of current technology developed for the field of environmental technology. Course is repeatable as the specific topics will vary.
