Course Number,Course Name,Department,Prerequisites,Description
10010,Fashion Fundamentals,FDM,special approval,"Introduction to the global fashion industry. Analysis of the business of fashion and how it is conceived, marketed and sold. Overview of important resources, companies and personnel who impact the industry."
10020,Fashion Visuals,FDM,special approval,The study of color and two- and three-dimensional design as it applies to the fashion industry.
10030,Fashion Fabrics I,FDM,special approval,"The study of fabrics, focusing on differentiating between fibers, fabric construction and fabric names. Students study fabric properties and how they relate to fabric and usage."
10140,Foundations of Fashion Drawing,FDM,special approval,"Introduction to fashion drawing. Concentration on communicating through drawing the fashion figures and technical flats, accurate garment proportion and construction."
15043,Workroom Techniques I,FDM,special approval,Introduction to basic construction skills using apparel workroom methods and industrial sewing equipment.
15044,Workroom Techniques II,FDM,special approval,Continued study of basic construction skills using apparel workroom methods and industrial sewing equipment. Introduction to garment fit and alterations.
20013,History of Costume,FDM,special approval,"Chronological study and research of historic costume from the origin of clothing through the French revolutionary era and 19th- and 20th- century designers, and the influence on contemporary fashion. Prerequisites: ARTH 22006 or ARTH 22007 or HIST 11050 or HIST 11051.20020 Fashion Merchandising Presentations (3)Study of fashion information, research sources and visual presentation formats used in the fashion industry."
22006,or ARTH 22007 or HIST 11050 or HIST 11051.20020 Fashion Merchandising Presentations,FDM,special approval,"Study of fashion information, research sources and visual presentation formats used in the fashion industry."
20030,Fashion Apparel Analysis,FDM,special approval,Analysis and evaluation of fashion apparel; quality standards of ready-to-wear apparel and factors that influence the aesthetic and functional performance of the end product.
20040,Fashion Fabrics II,FDM,special approval,"Continued study of fabrics, focusing on analyzing fabrics in detail. Also included is the study of laces, trims, high performance fabrics and current events in the textile industry, including legislation."
20121,Fashion Drawing I,FDM,special approval,"Advanced study of design illustration techniques as applied to the fashion figure through the use of live model drawing. Concentration on fabric rendering and drape as illustrated on the fashion figure. Introduction to technical flats used for illustrating garment construction. Prerequisites: minimum grade of C (2.0) FDM 10020 and 10140. Corequisite: FDM 20141. Special fee: $19 flat fee—subject to change.20122 Fashion Drawing II (3)Continued study of fashion illustration techniques through the use of Croquis books and figure layouts. Introduction to different design markets and research and on how illustration reflects different markets. Instruction on stylizing according to market. Prerequisites: minimum grade of C (2.0) FDM 20121. Corequisite: FDM 20142. Special fee: $19 flat fee—subject to change.20131 Technical Fashion Drawing I (3)Advanced study of design illustration techniques used to communicate design ideas as applied to technical fashion drawings. Concentration on fabric rendering and drape through the development and use of Croquis to show loose flats. Prerequisites: minimum grade of C (2.0) in FDM 10020 and 10140. Corequisite: FDM 20141. Special fee: $19 flat fee—subject to change.20132 Technical Fashion Drawing II (3)Continued study of technical fashion illustration techniques through the use of Adobe Illustrator, line plans and Croquie books for research. Introduction to design markets, research and presentations to buyers. Use of drawing software for technical flats and construction details. Prerequisites: minimum grade of C (2.0) in FDM 20131. Corequisite: FDM 20142. Special fee: $30 flat fee—subject to change.20141 Flat Pattern/Draping I (3)Development of basic bodice, skirt and sleeve muslins and slopers. Patternmaking principles of dart manipulation and added fullness. Construction techniques for bodice, skirt, sleeve, collar and shirt variations. Introduction to computer patternmaking and specification sheets.  Prerequisites: minimum grade of C (2.0) in FDM 10030 and 15044. Pre- or corequisite: minimum grade of C (2.0) in MATH 11009 or 11010 or 11012. Corequisite: FDM 20121 or 20131. Special fee: $75 flat fee—subject to change.20142 Flat Pattern/Draping II (3)Development of torso sloper. Drafting and draping contoured bodice and torso patterns. Pattern development, construction and fitting of spring dress from sketch. Sleeve/bodice combinations. Pant sloper development."
10020,and 10140. Corequisite: FDM 20141. Special fee: $19 flat fee—subject to change.20122 Fashion Drawing II,FDM,special approval,"Continued study of fashion illustration techniques through the use of Croquis books and figure layouts. Introduction to different design markets and research and on how illustration reflects different markets. Instruction on stylizing according to market. Prerequisites: minimum grade of C (2.0) FDM 20121. Corequisite: FDM 20142. Special fee: $19 flat fee—subject to change.20131 Technical Fashion Drawing I (3)Advanced study of design illustration techniques used to communicate design ideas as applied to technical fashion drawings. Concentration on fabric rendering and drape through the development and use of Croquis to show loose flats. Prerequisites: minimum grade of C (2.0) in FDM 10020 and 10140. Corequisite: FDM 20141. Special fee: $19 flat fee—subject to change.20132 Technical Fashion Drawing II (3)Continued study of technical fashion illustration techniques through the use of Adobe Illustrator, line plans and Croquie books for research. Introduction to design markets, research and presentations to buyers. Use of drawing software for technical flats and construction details. Prerequisites: minimum grade of C (2.0) in FDM 20131. Corequisite: FDM 20142. Special fee: $30 flat fee—subject to change.20141 Flat Pattern/Draping I (3)Development of basic bodice, skirt and sleeve muslins and slopers. Patternmaking principles of dart manipulation and added fullness. Construction techniques for bodice, skirt, sleeve, collar and shirt variations. Introduction to computer patternmaking and specification sheets.  Prerequisites: minimum grade of C (2.0) in FDM 10030 and 15044. Pre- or corequisite: minimum grade of C (2.0) in MATH 11009 or 11010 or 11012. Corequisite: FDM 20121 or 20131. Special fee: $75 flat fee—subject to change.20142 Flat Pattern/Draping II (3)Development of torso sloper. Drafting and draping contoured bodice and torso patterns. Pattern development, construction and fitting of spring dress from sketch. Sleeve/bodice combinations. Pant sloper development."
