Course Number,Course Name,Department,Prerequisites,Description
26070,Introduction to Law,FIN,finance (FIN) major and minimum 2,Evolution and implications of fundamental legal concepts and institutions. Introduction to the case method; substantive and procedural law; and various forms of legal activity.
26074,Legal Environment of Business,FIN,finance (FIN) major and minimum 2,"Coverage of the nature, structure and significance of the legal and regulatory areas which confront business, with special emphasis on business ethics and environmental and international issues."
36040,Me and My Money,FIN,finance (FIN) major and minimum 2,"Provides non-business majors with a practical overview of the essential aspects of personal finance necessary to function in today's complex economy. Prerequisites: MATH 10032 and 10033 and 10034. No credit toward BBA degree. 36053 Business Finance (3)Analysis of financial decisions in business enterprise and interface of firm with capital markets. Prerequisites: minimum 2.50 cumulative GPA; and ACCT 23020 or ACTT 11000; and ECON 22060 or HONR 21197; and ECON 22061 or HONR 21297.36054 Intermediate Business Finance (3)Treatment of uncertainty in business financial analysis. Overview of investment markets, financial institutions and international financial environment."
10032,and 10033 and 10034. No credit toward BBA degree. 36053 Business Finance,FIN,finance (FIN) major and minimum 2,"Analysis of financial decisions in business enterprise and interface of firm with capital markets. Prerequisites: minimum 2.50 cumulative GPA; and ACCT 23020 or ACTT 11000; and ECON 22060 or HONR 21197; and ECON 22061 or HONR 21297.36054 Intermediate Business Finance (3)Treatment of uncertainty in business financial analysis. Overview of investment markets, financial institutions and international financial environment."
23020,or ACTT 11000; and ECON 22060 or HONR 21197; and ECON 22061 or HONR 21297.36054 Intermediate Business Finance,FIN,finance (FIN) major and minimum 2,"Treatment of uncertainty in business financial analysis. Overview of investment markets, financial institutions and international financial environment."
36058,The Financial System,FIN,finance (FIN) major and minimum 2,"Analysis of financial markets and institutions emphasizing current issues, regulatory aspects and management concerns."
36059,Investments,FIN,finance (FIN) major and minimum 2,"Discussion of factors determining value of investment securities with attention to economic, regulatory and global influences. This course may count as an elective in a College of Business Administration program."
36061,Real Estate Principles,FIN,finance (FIN) major and minimum 2,"Principles and practices of real estate, real estate laws, contractual instruments, valuation, financing and markets in commercial and residential real estate."
36063,Individual Investment Analysis and Strategies,FIN,finance (FIN) major and minimum 2,"Examination of investment analysis and strategies with emphasis on individuals. Open only to nonfinance major. Cannot be counted toward finance major. Either this course or FIN 36059, but not both, can count as an elective in a College of Business Administration program."
36072,Law of Commercial Transactions,FIN,finance (FIN) major and minimum 2,"Introduction to real and personal property, commercial paper, agency law, business organizations, bankruptcy, secured transactions and other related areas of business law. Primarily for accounting majors."
26074,or BMRT 21000; not open to finance (FIN) majors.36081 Principles of Insurance,FIN,finance (FIN) major and minimum 2,"Examination of insurance industry, its regulatory environment and insurance contracts. Life and health insurance, as well as property and liability insurance are covered. Prerequisites: finance (FIN) major and minimum 2.50 cumulative GPA and ECON 22060 and 22061.36085 Financial Modeling (3)Provides students explicit experience with financial modeling. Business problems are systematically designed and solved using computerized spreadsheets. Prerequisites: FIN 36054 and MIS 24053. 46054 Financial Risk Management (3)Understanding techniques and financial tools used in managing financial risk. Analysis of contracts (options, forwards, futures) undertaken in the context of financial regulation and ethical practices within the financial marketplace."
22060,and 22061.36085 Financial Modeling,FIN,finance (FIN) major and minimum 2,"Provides students explicit experience with financial modeling. Business problems are systematically designed and solved using computerized spreadsheets. Prerequisites: FIN 36054 and MIS 24053. 46054 Financial Risk Management (3)Understanding techniques and financial tools used in managing financial risk. Analysis of contracts (options, forwards, futures) undertaken in the context of financial regulation and ethical practices within the financial marketplace."
36054,and MIS 24053. 46054 Financial Risk Management,FIN,finance (FIN) major and minimum 2,"Understanding techniques and financial tools used in managing financial risk. Analysis of contracts (options, forwards, futures) undertaken in the context of financial regulation and ethical practices within the financial marketplace."
46055,Options and Futures Markets,FIN,finance (FIN) major and minimum 2,"Comprehensive analysis of options and futures markets and their role in the financial system. Valuation methods, advanced hedging, arbitration techniques and the regulatory environment."
