Course Number,Course Name,Department,Prerequisites,Description
10160,Introduction to Geography,GEOG,10 undergraduate geography (GEOG) credit hours,"Emphasizes processes which generate diverse global human and environmental patterns. Interaction of geographical elements as expressed in spatial organization of cities, land use, and cultural and political regions."
16001,Soil and Horticultural Management,GEOG,10 undergraduate geography (GEOG) credit hours,"**To provide students with an understanding of the relationship of soil, nutrients and fertilizers, and to understand how to properly plant trees, shrubs and flowers. (At Salem Campus only.)"
17063,World Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Examination and comparison of geographic conditions in different regions of the world. Stresses interrelationships between people and resources within and between regions and countries.
17064,Geography of the United States and Canada,GEOG,10 undergraduate geography (GEOG) credit hours,Analysis of the spatial patterns of significant human and physical characteristics and interpretation of the major regions within the two nations.
20195,Special Topics in Geography (1-3)*(Repeated registration permissible) Explores emerging topics in geography not covered in other existing courses. Variable content course. Prerequisite: none.20977 Survey of Geography,GEOG,10 undergraduate geography (GEOG) credit hours,Introduces geography as a professional discipline; presents faculty and their research interests. S/U grading.
21062,Physical Geography,GEOG,10 undergraduate geography (GEOG) credit hours,"Introduction to the study of the spatial characteristics of the earth's physical environment, including how humans interact with it. Topics include weather and climate, vegetation, soils, ecosystems, landforms and land-formation processes, human impacts on Earth systems, and human/societal adaptations to the physical environment."
21063,Physical Geography Laboratory,GEOG,10 undergraduate geography (GEOG) credit hours,"Practical experience examining physical geographic processes, including the study and manipulation of map projections, Earth-sun relationships and experiments relating to the atmosphere, biosphere, lithosphere and hydrosphere. Corequisite: GEOG 21062. This course may be used to satisfy the Liberal Education Requirements (LER).22040 Introduction to Global Tourism (3)(Cross-listed with RPTM 26060) Introduction to travel and tourism around the world, including tourism technologies, cultural and natural environments as attractions, benefits of travel, travel ethics and sustainable development."
22040,Introduction to Global Tourism,GEOG,10 undergraduate geography (GEOG) credit hours,"(Cross-listed with RPTM 26060) Introduction to travel and tourism around the world, including tourism technologies, cultural and natural environments as attractions, benefits of travel, travel ethics and sustainable development."
22061,Human Geography,GEOG,10 undergraduate geography (GEOG) credit hours,"Introduction to the field of human geography. Topics include population, migration, folk and popular culture, language, religion, ethnicity, political geography, development, agriculture, industry, services, urban patterns and resource problems. Emphasis is placed on historic and current spatial patterns and reasons for their change."
29160,Mapping Our World,GEOG,10 undergraduate geography (GEOG) credit hours,"Introduction to maps and their uses, stressing their importance as a vehicle for understanding and communicating information about our world and its spatial characteristics."
