Course Number,Course Name,Department,Prerequisites,Description
11040,Earth Dynamics,GEOL,senior standing and geology (GEOL) major,"Application of basic concepts and theories of Earth science to the interpretation of Earth materials and dynamic processes (erosion, sedimentation, volcanism, continental drift)."
11041,Earth Dynamics Laboratory,GEOL,senior standing and geology (GEOL) major,"Lab study of minerals, rocks, aerial photos, topographic maps and geologic maps. Pre/corequisite: GEOL 11040. This course may be used to satisfy the Liberal Education Requirements (LER).11042 Earth History (3)Application of basic concepts and theories of Earth science to the interpretation of the origin and evolution of the solar system, the Earth, the structures of the crust and life."
11042,Earth History,GEOL,senior standing and geology (GEOL) major,"Application of basic concepts and theories of Earth science to the interpretation of the origin and evolution of the solar system, the Earth, the structures of the crust and life."
11043,Earth History Laboratory,GEOL,senior standing and geology (GEOL) major,"Lab study of fossils, sedimentary rocks and geologic maps in the framework of interpreting Earth history. Pre/corequisite: GEOL 11042. This course may be used to satisfy the Liberal Education Requirements (LER).21061 Glacial Geology (3)Origin and movement of glaciers, glacial erosion, transport, nature of glacial drift, Pleistocene stratigraphy, periglacial phenomena and climatic oscillations. Field trips. Three-hour lecture weekly."
21061,Glacial Geology,GEOL,senior standing and geology (GEOL) major,"Origin and movement of glaciers, glacial erosion, transport, nature of glacial drift, Pleistocene stratigraphy, periglacial phenomena and climatic oscillations. Field trips. Three-hour lecture weekly."
21062,Environmental Geology,GEOL,senior standing and geology (GEOL) major,"Application of geology to environmental problems including natural resource extraction, water supply, pollution, waste disposal, landslides, floods and land use planning. Field trips. Three-hour lecture weekly."
21080,Oceanography,GEOL,senior standing and geology (GEOL) major,"Introduction to geological, physical, chemical and biological nature of the oceans. Three-hour lecture weekly."
23063,Mineralogy,GEOL,senior standing and geology (GEOL) major,"Occurrence, associations, characteristics, crystallography and crystal chemistry of common minerals. Lab identification emphasizing physical properties. Lecture three hours, lab two hours weekly. Required field trip. Prerequisites: GEOL 11040 and 11041. Pre/corequisite: CHEM 10060.31070 Petrology (4)Occurrence and origin of igneous, sedimentary and metamorphic rocks. Lab identification, description and classification of hand specimens. Lecture three hours, lab two hours weekly. Required field trip."
11040,and 11041. Pre/corequisite: CHEM 10060.31070 Petrology,GEOL,senior standing and geology (GEOL) major,"Occurrence and origin of igneous, sedimentary and metamorphic rocks. Lab identification, description and classification of hand specimens. Lecture three hours, lab two hours weekly. Required field trip."
31080,Structural Geology,GEOL,senior standing and geology (GEOL) major,"Mechanical principles of rock deformation. Structures in sedimentary, igneous and metamorphic rocks. Lecture three hours, lab two hours weekly. Required field trip. Prerequisites: GEOL 31070.32066 Geomorphology (4)Earth’s surface features as functions of geological structures, processes and time. Landform analysis using topographic maps and some stereographic aerial photos. Lecture three hours, lab two hours weekly. Trigonometry recommended. Prerequisites: GEOL 11040 and 11041.34061 Invertebrate Paleontology (4)Concepts applied to study of commonly preserved invertebrate organisms; identification of common North American fossils. Lecture three hours, lab two hours weekly. Required field trip. Prerequisites: GEOL 11042 and 11043 and either BSCI 10110 or 20560. This course may be used to satisfy the writing-intensive requirement with approval of major department.40093 Variable Title Workshop in Geology (1-8)(Repeated registration permissible) Workshop or training program focused on a specific professional or disciplinary topic within geology. S/U grading."
