Course Number,Course Name,Department,Prerequisites,Description
11201,Elementary German I,GER,6 credit hours of upper-division German (GER) courses,An introduction to the German language in the context of the cultures of German-speaking lands.
11202,Elementary German II,GER,6 credit hours of upper-division German (GER) courses,A continuation of the introduction to the German language in the context of the cultures of German-speaking lands.
21201,Intermediate German I,GER,6 credit hours of upper-division German (GER) courses,"Continued development of speaking, listening, reading and writing skills using a variety of cultural materials."
21202,Intermediate German II,GER,6 credit hours of upper-division German (GER) courses,Continuation of GER 21201.
23531,Yiddish Short Story,GER,6 credit hours of upper-division German (GER) courses,"Introduction to Yiddish short stories in English translation with a special emphasis on works by Aleichem, Peretz and Mendele."
23532,Yiddish Drama,GER,6 credit hours of upper-division German (GER) courses,Examines representative Yiddish dramas which reflect the Yiddish-speaking society. They further depict the religious and political conflicts of this society with its Gentile neighbors.
31095,Special Topics (1-3)May be repeated when content varies. Topic announced in Schedule of Classes. Prerequisite: junior standing.31201 Intensive German Grammar,GER,6 credit hours of upper-division German (GER) courses,A systematic approach to German grammar and syntax.
31211,German Composition and Conversation,GER,6 credit hours of upper-division German (GER) courses,Grammar review and practice in writing and speaking German.
21202,and 31201.31215 German Phonetics and Diction,GER,6 credit hours of upper-division German (GER) courses,Study of the German sound system with emphasis on pronunciation and intonation. Reading and performance of a series of skits and short plays.
31231,Translation Practice: German,GER,6 credit hours of upper-division German (GER) courses,Translation practice with German texts using principles and techniques learned in the lecture class. Corequisite: MCLS 30230.31240 Conversation for Business and Special Purposes: German (3)Introduction to the special vocabulary of business and other special subject areas; introduces the concept of language for special purposes and emphasizes the use of special vocabulary in conversations in business and other settings.
31240,Conversation for Business and Special Purposes: German,GER,6 credit hours of upper-division German (GER) courses,Introduction to the special vocabulary of business and other special subject areas; introduces the concept of language for special purposes and emphasizes the use of special vocabulary in conversations in business and other settings.
31303,Introduction to German Literature,GER,6 credit hours of upper-division German (GER) courses,Introduction to German literature and textual analysis. Prerequisites: GER 21202 and 31201.31421 German Civilization (3)A survey of German history and intellectual life to 1918; taught in German.
21202,and 31201.31421 German Civilization,GER,6 credit hours of upper-division German (GER) courses,A survey of German history and intellectual life to 1918; taught in German.
31501,German Literature in English Translation,GER,6 credit hours of upper-division German (GER) courses,Reading and analysis of major works of German literature in English translation. No knowledge of German required. May not be counted toward the major or minor.
41095,Special Topics (1-4)(Repeated registration permissible when content varies) Topic announced in Schedule of Classes. Prerequisite: senior standing.41096 Individual Investigation (1-3)Independent investigation of problems in German language or literature. IP grade permissible. Prerequisites: 6 credit hours of upper-division German (GER) and special approval of the department chairperson.41211 Advanced German Composition and Conversation,GER,6 credit hours of upper-division German (GER) courses,Advanced practice in speaking and writing German.
41216,Contemporary German Culture,GER,6 credit hours of upper-division German (GER) courses,"A study of selected sociological, political, cultural and economic issues in contemporary German-speaking countries, using readings, films and legal documents as the basis for discussions. Taught in German."
41230,Advanced Translation Practice: German,GER,6 credit hours of upper-division German (GER) courses,"Theory and practice course that discusses translation theory and emphasizes German-to-English translation of selected texts in business, technology, medicine and law."
41240,Business and Special Texts: German,GER,6 credit hours of upper-division German (GER) courses,"Survey of the typical text types of business in the German culture and language. Practice sessions focus on reading and understanding specialized texts, and on the translation and composition of selected special texts in German."
41330,Twentieth-Century German Authors,GER,6 credit hours of upper-division German (GER) courses,A survey of the major movements and authors of the 20th century.
41331,History of German Literature,GER,6 credit hours of upper-division German (GER) courses,History of the development of German literature from 750 to the present.
41332,German Literature by Women,GER,6 credit hours of upper-division German (GER) courses,Readings of works by female German authors. Taught in German.
41334,The German Novella,GER,6 credit hours of upper-division German (GER) courses,"Development of the German novella from the 18th-century to the present. Readings of major works, lectures, analyses; taught in German."
41335,German Drama,GER,6 credit hours of upper-division German (GER) courses,"An examination of the development of the drama in Germany, Austria and Switzerland. Taught in German."
41338,German Poetry,GER,6 credit hours of upper-division German (GER) courses,"An examination of the nature of poetry with particular attention to its development in Germany, Austria and Switzerland. Taught in German."
41365,Classical German Literature,GER,6 credit hours of upper-division German (GER) courses,Reading and critical analysis of major works of the Classical Age with emphasis on Goethe.
41399,Research Project in German Literature,GER,6 credit hours of upper-division German (GER) courses,Thesis or other independent study. IP grade permissible.
40000,level.41731 Survey of German Cinema,GER,6 credit hours of upper-division German (GER) courses,A survey of major contributions to the German cinema from the beginnings to the present; taught in German.
