Course Number,Course Name,Department,Prerequisites,Description
11050,History of Civilization I,HIST,special approval (see HONR 40099),World history from early human societies through the mid-17th century.
11051,History of Civilization II,HIST,special approval (see HONR 40099),Continuation of HIST 11050. World history from mid-17th century to the present.
12070,History of the United States: The Formative Period,HIST,special approval (see HONR 40099),A survey of United States history through 1877.
12071,History of the United States: The Modern Period,HIST,special approval (see HONR 40099),A survey of United States history since 1877.
31009,History of Byzantine Civilization,HIST,special approval (see HONR 40099),The Byzantine Empire and its culture from the foundation of Constantinople to the Turkish Conquest (A.D. 330-1453).
31024,World War II,HIST,special approval (see HONR 40099),"Survey of one of the greatest political and military events in history, focusing especially on causes, and major personalities and chief political, ideological, moral, scientific and diplomatic aspects."
31027,History of England to 1688,HIST,special approval (see HONR 40099),"Survey of medieval and early modern England. Topics include Norman Conquest, medieval culture and society, Reformation, Age of Elizabeth, English Revolution."
31028,England Since 1688,HIST,special approval (see HONR 40099),"Survey of national development from the Glorious Revolution through the Second World War, with special attention to leaders, prominent individuals, and problems of change."
31029,History of the British Empire and Commonwealth Since 1815,HIST,special approval (see HONR 40099),"Survey of British colonialism and nation-building with an emphasis on Canada, Australia, Ireland, India and South Africa."
31030,NATO: The Enduring Alliance,HIST,special approval (see HONR 40099),Examination of the historical and contemporary roles of the North Atlantic Treaty Organization.
31050,History and Society of Modern Greece,HIST,special approval (see HONR 40099),"Study of Modern Greece concentrating on political, economic, cultural and societal developments since 1821."
31052,History of Modern France,HIST,special approval (see HONR 40099),"Survey of French history from 1815 to the present. Topics include industrialization, republicanism and revolution, the experience of war and defeat, empire and decolonization."
1815,"to the present. Topics include industrialization, republicanism and revolution, the experience of war and defeat, empire and decolonization. Prerequisite: none.31061 History of Ohio",HIST,special approval (see HONR 40099),
31070,History of American BusinessEnterprise,HIST,special approval (see HONR 40099),"An analysis of American business institutions, practices and leadership from the Colonial period to the present."
31075,History of Women in the United States,HIST,special approval (see HONR 40099),"(Cross-listed with WMST 30100) An exploration of the political, economic, social, intellectual, and cultural forces that have shaped women's lives, women's thought, perception of womanhood, and feminism for 1607 to the present in what is now the United States."
1607,to the present in what is now the United States. Prerequisite: none. 31080  African American History:  Slavery to Freedom,HIST,special approval (see HONR 40099),"(Cross-listed with PAS 33101). Survey of African American history from the colonial period to 1877. Course provides a general knowledge of the social, political and cultural history of African Americans from colonial times to the end of the Reconstruction."
31081,African American History:  Reconstruction to the Present,HIST,special approval (see HONR 40099),"(Cross-listed with PAS 33102). Survey of African American history from 1877 to the present. Course provides a general knowledge of the social, political and cultural history of African Americans from the end of the Reconstruction to the present."
1877,"to the present. Course provides a general knowledge of the social, political and cultural history of African Americans from the end of the Reconstruction to the present. Prerequisite: HIST 31080 or PAS 33101.31112 Chinese Civilization",HIST,special approval (see HONR 40099),General survey of evolution of Chinese civilization from the Bronze Age to the rise of communism.
31118,Vietnam War,HIST,special approval (see HONR 40099),"Study of the causes, evolution and effects of warfare in Vietnam from 1946 to 1975, with special attention to colonialism, nationalism, communism and American intervention."
1946,"to 1975, with special attention to colonialism, nationalism, communism and American intervention. Prerequisite: none.31125 Zionism and Israel",HIST,special approval (see HONR 40099),"Describes history of the Zionist movement from religious, ideological and political viewpoints and the relationship between Zionism and the state of Israel."
31126,History of the Middle East,HIST,special approval (see HONR 40099),A survey of Islamic civilization in Middle Eastern context from the earliest days to the present.
31127,Ancient and Early Medieval Jewish History,HIST,special approval (see HONR 40099),Deals with the ancient and early medieval Jewish history from approximately 2000 B.C. to approximately A.D. 1200.
2000,B.C. to approximately A.D. 1200. Prerequisite: none.31128 Late Medieval and Modern Jewish History,HIST,special approval (see HONR 40099),Survey of Jewish history in Europe and the Middle East from the age of the Crusades to the 20th century.
31130,History of African Civilization,HIST,special approval (see HONR 40099),"Survey of cultural, political, social and economic history of Africa from antiquity to European conquest. Emphasis on precolonial."
31140,Modern Latin America,HIST,special approval (see HONR 40099),"Focuses on 20th-century Latin America and the efforts by social classes and their political leaderships to overcome obstacles of underdevelopment. Emphasis on Argentina, Brazil, Chile, Mexico, Cuba and Central America."
31141,Early Latin America,HIST,special approval (see HONR 40099),Examines Latin America from precolonial times to the late 19th century. Lectures emphasize political and economic questions while readings focus on social history.
