Course Number,Course Name,Department,Prerequisites,Description
12005,Applications in Computer-Aided Design,IERT,special approval,"Course for training on the use of a popular, computer-aided drafting and design software. Practice with the advanced features of the software applicable to modern design in the graphics, mechanical, industrial and electronics fields."
21096,"Individual Investigation in Systems/ Industrial Engineering Technology (1-4)*Independent, in-depth research of a systems/industrial engineering technology topic supervised and coordinated by an engineering technology faculty member. Prerequisite: special approval.22000 Statistical Process Control",IERT,special approval,"Process variability, process monitoring, statistical methods using control charts for variables and attributes; Acceptance sampling plans; process capability, process adjustment, process improvement."
22001,Motion and Time Study,IERT,special approval,"Motion economics, SPC, activity charts, methods improvement, use of standard data method of making studies, computerized line balancing."
22003,Supervision and Labor Relations,IERT,special approval,"Practical methods and techniques for improving supervision and labor relations in industry. Personnel and performance evaluation, implementing policy, labor contracts, collective bargaining, wage and salary administration."
22004,Facilities Engineering,IERT,special approval,"Principles of facilities engineering to meet production needs. Applications of material-handling devices, plant layout drawings, templates, models and FMS systems."
22005,Production and Inventory Control,IERT,special approval,"Basic principles, objectives and influencing factors of production control in industrial organizations of various kinds and their effects on costs. Applied planning and scheduling."
22006,Economic Decision Analysis,IERT,special approval,"Economic decision making for industrial engineering technology with applications emphasis, estimating economic elements, interest and economic equivalence, methods of comparing alternatives and evaluating replacement alternatives."
22007,Cooperative Work Experience,IERT,special approval,*(Repeatable for a total of 6 hours) University-industry work study plan in which student alternates periods of study at the university with periods of employment in industry.
22008,Taguchi Process Improvement,IERT,special approval,"Process and product improvement through reduction of variation. Design of experiments and interpretation of results. Analysis of variance, orthogonal arrays and Taguchi techniques."
22010,Computer Integrated Manufacturing,IERT,special approval,"Planning, developing and implementing a strategy to control and coordinate all the engineering, production and business operations within a manufacturing enterprise."
