Course Number,Course Name,Department,Prerequisites,Description
16201,Elementary Latin I,LAT,LAT 36170 or 36171,An introduction to the classical Latin language in the context of ancient Roman culture.
16202,Elementary Latin II,LAT,LAT 36170 or 36171,A continuation of the introduction to the classical Latin language in the context of ancient Roman culture.
26201,Intermediate Latin I: Readings,LAT,LAT 36170 or 36171,Excerpts from Latin literature with emphasis on translation into English.
26202,Intermediate Latin II: Readings,LAT,LAT 36170 or 36171,"Excerpts from Latin literature with emphasis on both prose (e.g., Caesar, Cicero) and poetry (Vergil, Catullus)."
36170,Cicero,LAT,LAT 36170 or 36171,"Readings in Cicero’s orations and philosophical works, stressing rhetorical techniques. Consideration of Cicero’s role in Roman history and his place in Latin literature."
36171,Vergil,LAT,LAT 36170 or 36171,A study of the Latin text of Vergil’s Aeneid stressing the poetry of the language. Consideration of entire poem and its impact on Latin literature.
40393,Variable Title Workshop (1-6)Workshops individually designed to provide instruction and training in Latin studies. S/U grading. Prerequisite: Departmental special approval.46095 Selected Topics in Latin,LAT,LAT 36170 or 36171,Topic announced in the Schedule of Classes.
36170,or 36171.46096 Individual Investigation (1-3)Investigation of problems in Latin literature or linguistics. IP grading permissible. Prerequisites: minimum 3 credit hours of coursework at the 40000 level and departmental special approval.46211 Latin Prose Composition,LAT,LAT 36170 or 36171,Analysis of prose models; writing of connected Latin prose with attention to the Latin idiom.
36170,or 36171.46351 Latin Comedy,LAT,LAT 36170 or 36171,Characteristics and history of Latin comedy; readings from Plautus and Terence.
36170,or 36171.46352 Elegiac Poets,LAT,LAT 36170 or 36171,"Selections from Tibullus, Propertius and Ovid."
36170,or 36171.46372 Lyric Poetry,LAT,LAT 36170 or 36171,"Readings from the poetry of Catullus and Horace, with considerations of the general genre of lyric; a comparison of style and content of the two poets."
36170,or 36171.46373 Advanced Prose Authors,LAT,LAT 36170 or 36171,"Consideration of a major prose author such as Pliny the Younger, Livy, Tacitus or Suetonius; may be repeated when a different author is read."
36170,or 36171.46374 Juvenal’s Satires and Martial’s Epigrams,LAT,LAT 36170 or 36171,General consideration of Roman satire.
36170,or 36171.46375 Lucretius,LAT,LAT 36170 or 36171,De Rerum Natura.
