Course Number,Course Name,Department,Prerequisites,Description
10006,Core Mathematics I and II,MATH,special approval,Covers exactly the same topics as MATH 10021 and 10022 combined. Not offered on every campus. Hours do not count toward graduation.
10021,and 10022 combined. Not offered on every campus. Hours do not count toward graduation. Prerequisite: none. Special fee: $22.50 flat fee—subject to change. 10007 Core Mathematics III and IV,MATH,special approval,"Covers exactly the same topics as MATH 10023 and 10024 combined. Not offered on all campuses. Students should have appropriate placement scores, or have a minimum C (2.0) grade in MATH 10022 or MATH 10006 before taking this class."
10023,"and 10024 combined. Not offered on all campuses. Students should have appropriate placement scores, or have a minimum C (2.0) grade in MATH 10022 or MATH 10006 before taking this class. Prerequisite: none. Special fee: $22.50 flat fee—subject to change. 10021 Core Mathematics I",MATH,special approval,"Includes operations on integers, fractions, decimals and percents, properties of real numbers. Introduction to variables, first degree equations and problem-solving with formulas. Equations and inequalities in one variable, linear equations, rate of change and slope, graphing in the Cartesian plane. Hours do not count toward graduation."
10022,Core Mathematics II,MATH,special approval,"Introduction to functions, systems of linear equations, exponents, polynomial operations, scientific notation. Factoring polynomials, solving quadratics by factoring, radicals and rational exponents. Hours do not count toward graduation. Students should have appropriate placement scores, or have a minimum C (2.0) grade in MATH 10021 before taking this class. Special fee: $22.50 flat fee—subject to change. 10023 Core Mathematics III (2)Zeros of functions, rational expressions and equations, problem-solving with rational expressions, intermediate factoring techniques. Quadratics: functions, graphs, equations, inequalities, ""quadratic type"" equations and problem-solving."
10021,before taking this class. Special fee: $22.50 flat fee—subject to change. 10023 Core Mathematics III,MATH,special approval,"Zeros of functions, rational expressions and equations, problem-solving with rational expressions, intermediate factoring techniques. Quadratics: functions, graphs, equations, inequalities, ""quadratic type"" equations and problem-solving."
10022,before taking this class. Special fee: $22.50 flat fee—subject to change. 10024 Core Mathematics IV,MATH,special approval,"Advanced factoring techniques, rational functions, radical equations, absolute value equations and inequalities. Exponential and logarithmic functions: introduction, graphing, problem-solving."
10023,before taking this class. Special fee: $22.50 flat fee—subject to change. 10041 Elementary Probability and Statistics,MATH,special approval,"Descriptive statistics, probability concepts, binomial and normal distributions. Sampling, estimation, hypothesis testing. Analysis of paired data, linear models and correlation. Students who have not taken a previous mathematics course at Kent State must see an academic advisor in the Student Advising Center for placement."
10007,or any math course numbered MATH 10023 or higher before taking this class. 11008 Explorations in Modern Mathematics,MATH,special approval,Topics from various branches of mathematics are chosen to introduce student to the wide varieties of ways in which mathematics affects everyday life. Students who have not taken a previous mathematics course at Kent State must see an academic advisor in the Student Advising Center for placement.
10007,or any math course numbered MATH 10023 or higher before taking this class.11009 Modeling Algebra,MATH,special approval,"Study of algebra arising in the context of real-world applications, including linear, polynomial, exponential and logarithmic models. Intended for students not planning to take calculus. No credit for MATH 11010. Students who have not taken a previous mathematics course at Kent State must see an academic advisor in the Student Advising Center for placement."
10023,or MATH 10007 before taking this class. This course may be used to satisfy the Liberal Education Requirements (LER).11010 Algebra for Calculus,MATH,special approval,"Study of elementary functions and graphs, including polynomial, exponential and logarithmic functions; complex numbers; binomial theorem.  Students who have not taken a previous mathematics course at Kent State must see an academic advisor in the Student Advising Center for placement."
