Course Number,Course Name,Department,Prerequisites,Description
24053,Introduction to Computer Applications,MIS,special approval,"Develop competency in the operation of contemporary software and hardware applications. To develop an appreciation for the contribution of computers, software and the Internet to society."
24056,Fundamentals of Business Statistics,MIS,special approval,Introduction to concepts in statistical methods and their applications to real-world problems. Examines both the theoretical and practical side of the different methods.
11010,or 11011 or 11012 or 12001 or 12002.24060 Systems Analysis I,MIS,special approval,"Coverage of the system life cycle, structured process modeling and data modeling methodologies, logical system design and automated analysis tools. Prerequisites: MIS 24053 and special approval.24065 Web Programming (3)Learn about how systems analysis is used to discover organizational needs and how to propose and design information system solutions. Learn about the principles of visual design as applied to Web site interface development. Learn the basics of programming and relational database. Learn how to develop a Web-based database driven interactive information system."
24053,and special approval.24065 Web Programming,MIS,special approval,Learn about how systems analysis is used to discover organizational needs and how to propose and design information system solutions. Learn about the principles of visual design as applied to Web site interface development. Learn the basics of programming and relational database. Learn how to develop a Web-based database driven interactive information system.
24093,Variable Title Workshop in Management and Information Systems (1-6)Special workshop in management and information systems. Credits depend on scope of project. S/U grading. Prerequisite: special approval.24163 Principles of Management,MIS,special approval,Introductory course in management and organizational design. The leading contributions in the area are reviewed and practical implications are developed.
34031,Systems Simulation,MIS,special approval,Concepts and methods of simulating systems to facilitate managerial decision making. Students design computerized simulation models using simulation language to analyze complex problems. Prerequisites: minimum 2.50 cumulative GPA; and MIS 24056 or MATH 10041 or BMRT 24004; and MIS 24080.34032 Data and File Technology (3)An introduction to file architecture and database management systems. The application of these technologies is detailed.
24056,or MATH 10041 or BMRT 24004; and MIS 24080.34032 Data and File Technology,MIS,special approval,An introduction to file architecture and database management systems. The application of these technologies is detailed.
24060,and 24070.34033 Computer Programming for Business II,MIS,special approval,"Continuation of Computer Programming for Business I. Emphasis on problem solving, developing systems, structured programming, programming style conventions and programming in teams. Prerequisites: MIS 24060 and 24070.34036 Large Systems Technology (3)An introduction to the use of large computer systems; experience with job control language, utilities, teleprocessing monitors, execution languages and job streams. Prerequisites: MIS 24060 and 24070.34045 Small Systems Technology (3)An examination of the role of small computer systems within an organization’s information systems environment. Prerequisites: MIS 24060 and 2407034053 Data Integration (3)This course mixes concepts of data and information with hands-on applications with popular business software and the migration of the information to the Internet as well as Intranets. Prerequisites: MIS 24060 and 24070; not open to computer informationsystems (CIS) majors.34054 Using Information Systems for Solving Business Problems (3)This course is a continuation of MIS 24053 and provides students with further study of use of information systems in solving business problems."
24060,and 24070.34036 Large Systems Technology,MIS,special approval,"An introduction to the use of large computer systems; experience with job control language, utilities, teleprocessing monitors, execution languages and job streams. Prerequisites: MIS 24060 and 24070.34045 Small Systems Technology (3)An examination of the role of small computer systems within an organization’s information systems environment. Prerequisites: MIS 24060 and 2407034053 Data Integration (3)This course mixes concepts of data and information with hands-on applications with popular business software and the migration of the information to the Internet as well as Intranets. Prerequisites: MIS 24060 and 24070; not open to computer informationsystems (CIS) majors.34054 Using Information Systems for Solving Business Problems (3)This course is a continuation of MIS 24053 and provides students with further study of use of information systems in solving business problems."
24060,and 24070.34045 Small Systems Technology,MIS,special approval,An examination of the role of small computer systems within an organization’s information systems environment. Prerequisites: MIS 24060 and 2407034053 Data Integration (3)This course mixes concepts of data and information with hands-on applications with popular business software and the migration of the information to the Internet as well as Intranets. Prerequisites: MIS 24060 and 24070; not open to computer informationsystems (CIS) majors.34054 Using Information Systems for Solving Business Problems (3)This course is a continuation of MIS 24053 and provides students with further study of use of information systems in solving business problems.
24060,and 2407034053 Data Integration,MIS,special approval,This course mixes concepts of data and information with hands-on applications with popular business software and the migration of the information to the Internet as well as Intranets. Prerequisites: MIS 24060 and 24070; not open to computer informationsystems (CIS) majors.34054 Using Information Systems for Solving Business Problems (3)This course is a continuation of MIS 24053 and provides students with further study of use of information systems in solving business problems.
24060,and 24070; not open to computer informationsystems (CIS) majors.34054 Using Information Systems for Solving Business Problems,MIS,special approval,This course is a continuation of MIS 24053 and provides students with further study of use of information systems in solving business problems.
24053,and provides students with further study of use of information systems in solving business problems. Prerequisite: minimum 2.50 cumulative GPA; and MIS 24053 or COMT 11000; not open to computer information systems (CIS) majors.34055 Computer Decision Modeling,MIS,special approval,"Introduces students to the scientific decision-making tools of operations research and management science, and also to the use of spreadsheet modeling for problem formulation and solution without the need for mathematics. The concepts of modeling and better decision making are stressed along with illustrations from the various functional areas of business. Prerequisites: minimum 2.50 cumulative GPA; and MIS 24053 or COMT 11000; and MIS 24056 or MATH 10041 or BMRT 21004; not open to computer information systems (CIS) majors.34058 Operations Research I (3)Matrix algebra, linear programming, transportation problems and network flow problems. Theory and solution methods of each problem developed in conjunction with applications and foundations."
