Course Number,Course Name,Department,Prerequisites,Description
11111,Music Rudiments,MUS,music (MUS) major,Introduction to the pitch and rhythmic aspects of music. Emphasis on aural/oral skills and music notation. No credit toward graduation for music majors or minors.
11121,Theory,MUS,music (MUS) major,"Basic elements of music—harmonic, melodic, rhythmic—studied through analysis, composition, keyboard and ear training. Diatonic materials emphasized."
11122,Theory,MUS,music (MUS) major,"Continuation of basic elements of music—harmonic, melodic, rhythmic—studied through analysis, composition, keyboard, singing and ear training. Chromatic materials emphasized."
11121,with a grade of C- (1.7) or better.12211 Music of Western Cultures,MUS,music (MUS) major,"Provides a basic understanding of the elements of music embedded in a survey of types of music cultivated in Western societies including folk, popular and classical."
12212,Music of Nonwestern Cultures,MUS,music (MUS) major,"A survey of the musics of traditional Europe, Latin America, Asia, Africa and Oceania. Attention is given to listening skills, cultural context, organology, function and technical matters of style. May not earn credit for both MUS 12212 and 22121."
12212,and 22121. Prerequisite: MUS 12211 and music (MUS) or music education (MUED) major.18611 Singer’s Diction I,MUS,music (MUS) major,"Foundational training and performance practice in phonetics and singing diction for the English, American, Ecclesiastical Latin and Italian vocal repertoire."
18612,Singer’s Diction II,MUS,music (MUS) major,"Foundational training and performance practice in phonetics and singing diction for the vocal repertoire of French, German and selected other languages."
18611,with a grade of C- (1.7) or better.20295 Special Topics in Music (1-3)*(Repeated registration permissible) Academic study in areas not offered adequately in the music curriculum. Topic areas are of special interest to the faculty member. Prerequisite: music (MUS) major.21113 Music Production I,MUS,music (MUS) major,"A practical introduction to digital audio production, study of basic computer assisted recording, editing and music production."
21114,Music Production II,MUS,music (MUS) major,"A practical study of computer assisted composition and arranging covering MIDI, sequencing, synthesis, sampling and video synchronization."
21121,Music Theory to 1750,MUS,music (MUS) major,"Study of Western musical style from Gregorian chant through the Baroque period. Emphasis on aural, compositional, written and keyboard approaches as appropriate to medieval, Renaissance and Baroque music."
11122,with a grade of C- (1.7) or better.21122 Music Theory From 1750 to 1900,MUS,music (MUS) major,"Study of Western musical style from the early classical to the late Romantic period. Emphasis on aural, compositional, written and keyboard approaches as appropriate to classical and Romantic music. Prerequisites: MUS 21121 with a grade of C- (1.7) or better21221 Audio Recording I (3)A study of basic live and studio recording fundamentals and techniques, including signal flow, microphones and recording equipment."
21121,with a grade of C- (1.7) or better21221 Audio Recording I,MUS,music (MUS) major,"A study of basic live and studio recording fundamentals and techniques, including signal flow, microphones and recording equipment."
21222,Audio Recording II,MUS,music (MUS) major,"A study of multi-track miking and recording techniques, session setup and management, and elements required for the reference mix."
21341,Commercial Music Theory and Composition,MUS,music (MUS) major,"Application of the knowledge gained from Music Theory (MUS 11121 and 11122) to the study of popular music through practical applications, particularly with regard to composition and improvisation."
11121,"and 11122) to the study of popular music through practical applications, particularly with regard to composition and improvisation. Prerequisite: minimum grade of C (2.0) in MUS 11121 and 11122. 22111 The Understanding of Music",MUS,music (MUS) major,"A listening approach for the understanding of Western art music, folk and jazz. Particular attention is paid to musical styles, forms and compositional techniques as related to music history. Not open to music majors."
22121,Music As a World Phenomenon,MUS,music (MUS) major,"An introduction to music as a world phenomenon. Study of selected art, folk and popular musics from world cultures through live performances, tapes, films, video tapes and readings. No credit for both MUS 22121 and 12212."
22121,and 12212. Prerequisite: none. This course may be used to satisfy the Liberal Education Requirements (LER) and diversity requirements.23111 Music Fundamentals,MUS,music (MUS) major,"The study of pitch, rhythm, notation, structure and interpretation of music through performance on voice, melody instruments and accompanying instruments."
23241,Music Teaching As a Profession,MUS,music (MUS) major,"Basic teaching strategies and techniques; an overview of music teaching as a career; diversity, integration, curriculum technology, classroom management, legal issues, personal skills and portfolio. Forty-five field/clinical hours required. Prerequisites: music (MUS)or music education (MUED) major and sophomore standing.25011 University Chorus (1)*(Repeated registration permissible) Choral ensemble which studies and performs sacred and secular music for mixed voices. Activities include performance on and off campus."
25011,University Chorus,MUS,music (MUS) major,*(Repeated registration permissible) Choral ensemble which studies and performs sacred and secular music for mixed voices. Activities include performance on and off campus.
25131,Opera: Singer-Actor Techniques,MUS,music (MUS) major,"(Repeated registration permissible) Training in methods and skills necessary to the art of the singer-actor. Opera performed and prepared via study, observation and rehearsal."
25225,University Band,MUS,music (MUS) major,*(Repeated registration permissible) Study and performance of music literature for wind band appropriate for music majors and nonmajors.
25231,Jazz Ensemble,MUS,music (MUS) major,*(Repeated registration permissible) Study and performance of music literature for jazz ensemble appropriate for music majors and nonmajors.
25311,Chamber Music,MUS,music (MUS) major,*(Repeated registration permissible) The study and performance of music for small ensembles.
31111,Advanced Sight Singing,MUS,music (MUS) major,Advanced sight singing and ear training. Sight singing in five clefs emphasizing vocal and instrumental works from various periods including contemporary.
31113,Music Production III,MUS,music (MUS) major,"Continuation of Music Production II, advanced sequencing, synthesis and audio editing techniques as applied to music production. Focus is on arranging. Prerequisites: minimum grade of C (2.0) in MUS 21113 and 21114. 31114 Music Production IV (3)Continuation of Music production III, creating audio for short video projects including the study of time code, synchronization, electronic editing, video and film transports, Dolby stereo, equipment interfacing and future developments."
21113,and 21114. 31114 Music Production IV,MUS,music (MUS) major,"Continuation of Music production III, creating audio for short video projects including the study of time code, synchronization, electronic editing, video and film transports, Dolby stereo, equipment interfacing and future developments."
31121,Western Music Since 1900,MUS,music (MUS) major,"Class meets three hours per week. The study of Western art music since 1900 from historical and theoretical viewpoints. Emphasis on aural, listening, music composition and written skills as well as intellectual understanding. Prerequisites: MUS 21122 and 32212 both with a grade of C- (1.7) or better.31211 Composition (2)(Repeated registration permissible) Original composition for instrumental and vocal solos and small ensembles using shorter musical forms."
1900,"from historical and theoretical viewpoints. Emphasis on aural, listening, music composition and written skills as well as intellectual understanding. Prerequisites: MUS 21122 and 32212 both with a grade of C- (1.7) or better.31211 Composition",MUS,music (MUS) major,(Repeated registration permissible) Original composition for instrumental and vocal solos and small ensembles using shorter musical forms.
31221,Audio Recording III,MUS,music (MUS) major,"A study of the elements, functions and te4chniques of digital audio multi-track mixing."
31222,Audio Recording IV,MUS,music (MUS) major,"A detailed study of the tools, techniques and critical listening decisions required in creating a professional digital audio mix."
32211,Music History to 1750,MUS,music (MUS) major,A survey of Western music history from the early Christian chants through the Baroque style.
12211,and 21121; and MUS 21122 with a grade of C- (1.7) or better; and junior standing.32212 Music History 1750 to 1900,MUS,music (MUS) major,A survey of Western music history of the 18th and 19th centuries.
12211,and 21121 and 21122; and MUS 32211 with a grade of C- (1.7) or better; and junior standing. This course may be used to satisfy the writing-intensive course requirement with approval of major department.33111 Teaching Music in the Elementary Classroom,MUS,music (MUS) major,"Study of music and related arts for the classroom. Development of music skills and strategies for teaching music to children in elementary schools. Three field/clinical hours are required. Prerequisites: MUS 23111, EDPF 28911, 29515, 29592 and CI 20000.33211 Elementary and Secondary General Music (3)Kodaly, Orff, Dalcroze and recent methods in general music. Music reading in elementary and secondary classes; cultural diversity and pedagogy for the special learner. Sixty field/clinical hours required. Taken concurrently with MUS 33212."
29592,and CI 20000.33211 Elementary and Secondary General Music,MUS,music (MUS) major,"Kodaly, Orff, Dalcroze and recent methods in general music. Music reading in elementary and secondary classes; cultural diversity and pedagogy for the special learner. Sixty field/clinical hours required. Taken concurrently with MUS 33212."
33212,Teaching Skills in Music Education: General/Instrumental,MUS,music (MUS) major,"Clinical experience in the teaching of general and instrumental music in the schools. Fifteen field/clinical hours required. Taken concurrently with MUS 33211 or 43231. Prerequisites: music (MUS) major and junior standing.33213 Teaching Skills in Music Education: Choral/Orchestral (1)Clinical experience in the teaching of choral and orchestral music in the schools. Fifteen field/clinical hours required. Prerequisites: music (MUS) or music education (MUED) major and junior standing. Corequisite: MUS 33231 or 43211.33231 Elementary and Secondary Choral Music (3)Choral methods, rehearsal techniques, conducting skills and literature used in elementary and secondary schools. Sixty field/clinical hours required. Taken concurrently with MUS 33213. Prerequisites: MUS 23241 and 34111.34111 Elementary Conducting (2)Introduction to and study of conducting: beat patterns, baton techniques, score reading, analysis and interpretive elements. Six field/clinical hours are required."
33211,or 43231. Prerequisites: music (MUS) major and junior standing.33213 Teaching Skills in Music Education: Choral/Orchestral,MUS,music (MUS) major,"Clinical experience in the teaching of choral and orchestral music in the schools. Fifteen field/clinical hours required. Prerequisites: music (MUS) or music education (MUED) major and junior standing. Corequisite: MUS 33231 or 43211.33231 Elementary and Secondary Choral Music (3)Choral methods, rehearsal techniques, conducting skills and literature used in elementary and secondary schools. Sixty field/clinical hours required. Taken concurrently with MUS 33213. Prerequisites: MUS 23241 and 34111.34111 Elementary Conducting (2)Introduction to and study of conducting: beat patterns, baton techniques, score reading, analysis and interpretive elements. Six field/clinical hours are required."
33231,or 43211.33231 Elementary and Secondary Choral Music,MUS,music (MUS) major,"Choral methods, rehearsal techniques, conducting skills and literature used in elementary and secondary schools. Sixty field/clinical hours required. Taken concurrently with MUS 33213. Prerequisites: MUS 23241 and 34111.34111 Elementary Conducting (2)Introduction to and study of conducting: beat patterns, baton techniques, score reading, analysis and interpretive elements. Six field/clinical hours are required."
23241,and 34111.34111 Elementary Conducting,MUS,music (MUS) major,"Introduction to and study of conducting: beat patterns, baton techniques, score reading, analysis and interpretive elements. Six field/clinical hours are required."
35213,Studio Ensemble,MUS,music (MUS) major,"(Repeatable for a total of 16 hours) Development of ensemble skills through small group experience performing diverse popular styles from notation, developing improvisation skills and creating arrangements from lead charts. Students must audition for the director prior to registration for the course."
36913,Applied Studio Musicianship (2-4)(Repeatable for a total of 16 hours) Development of performance proficiency in contemporary popular music styles appropriate for the performance idiom through individual instruction. students must audition for the director prior to registration for the course. Prerequisite: special approval. 40092 Music Technology Internship,MUS,music (MUS) major,On-the-job experience with cooperating business in the field of music technology and preparation of a final report or an applicable project. Prerequisites: minimum grade of C (2.0) in MUS 41114 or 41222; and minimum cumulative 2.25 GPA; and music technology (MUST) major and special approval. 40295 Special Topics in Music (1-3)(Repeatable for a total of 12 hours) Academic study in areas not offered adequately in the music curriculum. Topic areas are of special interest to the faculty member.
41114,or 41222; and minimum cumulative 2.25 GPA; and music technology (MUST) major and special approval. 40295 Special Topics in Music (1-3)(Repeatable for a total of 12 hours) Academic study in areas not offered adequately in the music curriculum. Topic areas are of special interest to the faculty member. Prerequisite: music (MUS) major.40296 Independent Study: Music (1-3)Individual investigation in music topics not offered as either regular coursework or beyond the scope of existing music major courses. Repeatable for credit. Prerequisites: music major and special approval.41111 Practicum in Music Theory,MUS,music (MUS) major,"Ear training, sight singing and analysis in preparation for graduate-level music theory coursework."
41113,Music Production V,MUS,music (MUS) major,"Continuation of Music Production IV, advanced sequencing, synthesis and audio editing techniques as applied to music production. Focus is on original music."
41114,Music Production VI,MUS,music (MUS) major,"Continuation of Music Production V, create music to accompany a visual medium by learning fundamental to more advanced film scoring techniques."
41131,Keyboard Harmony,MUS,music (MUS) major,"Theoretical skills demonstrated at the keyboard: harmonization of melodies in homophonic style, realization of figured bass, score reading, modulation and improvisation."
41141,Sixteenth-Century Counterpoint,MUS,music (MUS) major,"Two-, three-, and four-part vocal counterpoint in 16th-century style."
41151,Eighteenth-Century Counterpoint,MUS,music (MUS) major,"Technique of writing counterpoint in 18th-century style, especially that of J.S. Bach."
41161,Advanced Musical Analysis,MUS,music (MUS) major,"A study of 20th-century approaches to tonal and non-tonal musical analysis. Emphasis on familiarity with styles, nomenclature and appropriate graphic techniques."
41181,Acoustics and Technology in Music,MUS,music (MUS) major,"An introduction to acoustics and psychoacoustics in direct relationship to music, and an introduction to uses of technology in music composition, performance, notation, theory, history and pedagogy."
