Course Number,Course Name,Department,Prerequisites,Description
10050,Introduction to Professional Nursing,NURS,junior standing,Focus on nursing’s development as a discipline and profession. The scope of nursing practice and the health care delivery system are discussed.
20010,Interpersonal and Communication Skills  for Health Professionals,NURS,junior standing,"A skill development course, with readings, experiential learning activities and oral and written communication assignments. It is designed to help students enhance their self-confidence in interacting with other people, individually or in groups, and develop their capabilities in writing, leading groups and presenting information. Assertiveness techniques, presentation of self, critical thinking and collaboration skills complement the development of interpersonal and communication competencies. Active learning methods are used to facilitate growth at any level of current student development."
20020,Foundations of Assessment and Communication in Nursing,NURS,junior standing,Individuals are assessed as members of families and community members. Communication in nursing is explored.
20030,Foundations of Nursing Interventions,NURS,junior standing,"Focuses on selected aspects of nursing care to improve the health of individuals within families and groups. Utilizes principles of the interpersonal process, nursing process and professional nursing."
20010,and 20020 and 20950 and BSCI 20020 with a grade of C (2.0) or better. Special laboratory fee: $100 flat fee—subject to change.20160 Nursing Process,NURS,junior standing,Concepts of nursing process/process recording are taught with emphasis on those processes as used at Kent State University College of Nursing. Philosophies of nursing are discussed. Prerequisites: sophomore standing and nursing (NURS) major and special approval.20950 Human Growth and Development for Health Professionals (3)Examines theoretical principles and concepts of human growth and development throughout the life cycle applicable to personal and professional activities essential to the accurate assessment of human needs and understanding human behaviors.
20950,Human Growth and Development for Health Professionals,NURS,junior standing,Examines theoretical principles and concepts of human growth and development throughout the life cycle applicable to personal and professional activities essential to the accurate assessment of human needs and understanding human behaviors.
11762,and sophomore standing.21095 Special Topics (2-4)*(Repeated registration permissible) Scheduled topics of interest to faculty and students. Prerequisite: sophomore standing.21096 Individual Investigation (2-4)*(Repeated registration permissible) Designed for the student interested in exploration and research of material not covered in required nursing courses. Prerequisites: sophomore standing and special approval.30010 Parent and Newborn Nursing,NURS,junior standing,"A study of nursing assessment, need identification and evaluation for individuals and families during the child-bearing cycle. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30020. Special laboratory fee: $89 flat fee—subject to change.30020 Health Care of Children (4)Nursing process in family-centered care of children including health and developmental promotion and illness and restorative intervention. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30010. Special laboratory fee: $89 flat fee—subject to change.30030 Nursing of Adults (5)Emphasizes health promotion and prevention of episodic illness and maintenance of health status. Utilizes nursing process as foundation to provide nursing care composed of clinical experience in acute care settings. Prerequisites: NURS 20030 and 20950 and BSCI  30030 with a grade of C (2.0) or better. Corequisite: NURS 30040. Special laboratory fee: $100 flat fee—subject to change.30040 Nursing of Adults with Rehab Needs and/or Gerontologic Changes (4)This course encompasses care of persons and families dealing with gerontologic changes and/or rehabilitation needs. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30030. Special laboratory fee: $89 flat fee—subject to change.30050 Basic Nursing Informatics (2)Focuses on the use of nursing informatics for clinical nursing practice, inquiry and communication."
20030,and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30020. Special laboratory fee: $89 flat fee—subject to change.30020 Health Care of Children,NURS,junior standing,"Nursing process in family-centered care of children including health and developmental promotion and illness and restorative intervention. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30010. Special laboratory fee: $89 flat fee—subject to change.30030 Nursing of Adults (5)Emphasizes health promotion and prevention of episodic illness and maintenance of health status. Utilizes nursing process as foundation to provide nursing care composed of clinical experience in acute care settings. Prerequisites: NURS 20030 and 20950 and BSCI  30030 with a grade of C (2.0) or better. Corequisite: NURS 30040. Special laboratory fee: $100 flat fee—subject to change.30040 Nursing of Adults with Rehab Needs and/or Gerontologic Changes (4)This course encompasses care of persons and families dealing with gerontologic changes and/or rehabilitation needs. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30030. Special laboratory fee: $89 flat fee—subject to change.30050 Basic Nursing Informatics (2)Focuses on the use of nursing informatics for clinical nursing practice, inquiry and communication."
20030,and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30010. Special laboratory fee: $89 flat fee—subject to change.30030 Nursing of Adults,NURS,junior standing,"Emphasizes health promotion and prevention of episodic illness and maintenance of health status. Utilizes nursing process as foundation to provide nursing care composed of clinical experience in acute care settings. Prerequisites: NURS 20030 and 20950 and BSCI  30030 with a grade of C (2.0) or better. Corequisite: NURS 30040. Special laboratory fee: $100 flat fee—subject to change.30040 Nursing of Adults with Rehab Needs and/or Gerontologic Changes (4)This course encompasses care of persons and families dealing with gerontologic changes and/or rehabilitation needs. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30030. Special laboratory fee: $89 flat fee—subject to change.30050 Basic Nursing Informatics (2)Focuses on the use of nursing informatics for clinical nursing practice, inquiry and communication."
20030,and 20950 and BSCI  30030 with a grade of C (2.0) or better. Corequisite: NURS 30040. Special laboratory fee: $100 flat fee—subject to change.30040 Nursing of Adults with Rehab Needs and/or Gerontologic Changes,NURS,junior standing,"This course encompasses care of persons and families dealing with gerontologic changes and/or rehabilitation needs. Prerequisites: NURS 20030 and 20950 and BSCI 30030 with a grade of C (2.0) or better. Corequisite: NURS 30030. Special laboratory fee: $89 flat fee—subject to change.30050 Basic Nursing Informatics (2)Focuses on the use of nursing informatics for clinical nursing practice, inquiry and communication."
