Course Number,Course Name,Department,Prerequisites,Description
10101,Elementary Kiswahili I,PAS,junior or senior standing,"This course is an introduction to Kiswahili in which students will learn the essentials of speaking, reading and writing the most extensively used language in East Africa."
10102,Elementary Kiswahili II,PAS,junior or senior standing,"Continuation of PAS 10101, aimed at advancing students’ knowledge and communication skills in Kiswahili by introducing Kiswahili literature—short narratives, proverbs and folktales."
13001,Foundations of Pan-African Studies I,PAS,junior or senior standing,This interdisciplinary course provides a fundamental understanding of what constitutes the Pan-African world.
13002,Foundations of Pan-African Studies II,PAS,junior or senior standing,This interdisciplinary course will introduce students to the study of the African diaspora.
13201,Elementary Yoruba I,PAS,junior or senior standing,This course is an introduction to Yoruba in which students will learn the essentials of this West African language that is also spoken in Cuba and Brazil. Students will learn tonal pronunciation and cultural conversation.
13202,Elementary Yoruba II,PAS,junior or senior standing,"Continuation of PAS 13201, with emphasis on tonal pronunciation, cultural conversation and basic reading and writing skills."
20101,Kiswahili III,PAS,junior or senior standing,"Continuation of Kiswahili II, aimed at developing knowledge, competence and recognition of Kiswahili usage in all forms of Kiswahili literature."
20102,Kiswahili IV,PAS,junior or senior standing,"Continuation of Kiswahili III, aimed at developing knowledge, competence and recognition of Kiswahili usage in all forms of Kiswahili literature."
20200,Recovering the Past: Kent to Memphis,PAS,junior or senior standing,"Examines relevance of John Brown, Frederick Loudin and Fisk Jubilee Singers, and Ida B. Wells' anti-lynching campaign today. Students travel to local Brown and Loudin sites, Harpers Ferry and Memphis."
22000,"African World Creative Writing (3-6)Focus on creative writing and performance in the mode and performance styles of people of African descent. Students will write, perform, critique and produce original works. Prerequisite: ENG 21011.22101 African-American Visual Artists",PAS,junior or senior standing,"An Afrocentric survey of visual and aural artistry, course examines cultural context and perspectives, mediums of expression, form, style, content and patronage of African-American artists from 1800."
22200,Introduction to the African Arts,PAS,junior or senior standing,Investigation of function of creative forms of artistic expression particular to experiences of Pan-African community at home and abroad.
22201,Expressivity in African Arts,PAS,junior or senior standing,"An African-centered examination of the process and profession of African traditional visual artists; emphasis on sculpture, pottery, fabric, textile design, embroidery, mural decorations in two- and three-dimensional finishes."
23001,Black Experience I: Beginnings to 1865,PAS,junior or senior standing,"Study and analysis of the African experience prior to, and following, the arrival of Africans in the New World. Emphasis on North America, South America, Africa and Caribbean."
23002,Black Experience II: 1865 to Present,PAS,junior or senior standing,"The second of two parts, this course covers the period 1865 to present and is a continuation of PAS 23001."
1865,to present and is a continuation of PAS 23001. Prerequisite: none. This course may be used to satisfy the Liberal Education Requirements (LER) and diversity requirements.23201 Intermediate Yoruba I,PAS,junior or senior standing,"Continuation of PAS 13202, aimed at developing further competency in reading, writing and speaking. Prerequisites: PAS 13201 and 13202.23202 Intermediate Yoruba II (3)Continuation of PAS 23201, aimed at advanced competency speaking, writing and reading."
13201,and 13202.23202 Intermediate Yoruba II,PAS,junior or senior standing,"Continuation of PAS 23201, aimed at advanced competency speaking, writing and reading."
24000,Black Short Story,PAS,junior or senior standing,"Reading and analysis of short stories by important African, Caribbean and African-American writers, as well as an introduction to important themes in Black Literature."
11011,or HONR 10197. 24407 Caribbean Studies,PAS,junior or senior standing,Focus on people of African descent in the West Indies and their way of life for the cultural contributions made to Pan-African communities.
23001,or 23002. This course may be used to satisfy the diversity requirement.30010 African and African-American Philosophies,PAS,junior or senior standing,(Cross-listed with PHIL 31070) Exploration of philosophical issues in African and African-American thought systems including examination of traditional and emerging approaches to developing conceptions of African and African-American philosophies.
31000,Writing on the Pan-African Community Theatre,PAS,junior or senior standing,"This course prepares students to write and publish theatre reviews relevant to Pan-African theatre productions. Students learn the context, content and aesthetics that contribute to the uniqueness of Pan-African theatre."
