Course Number,Course Name,Department,Prerequisites,Description
11001,Introduction to Philosophy,PHIL,departmental special approval before registration,An introduction to the diverse methods and subject matters of philosophy. Primary philosophic sources from varied philosophical traditions focus on at least three philosophic areas.
11009,Principles of Thinking,PHIL,departmental special approval before registration,"The place of argument in reasoning and the place of reasoning in thinking are explored through a concentration on argument—its structure, expression, function and limits."
21001,Introduction to Ethics,PHIL,departmental special approval before registration,"This course considers what constitutes ethics, not just which specific acts or act-kinds are ethical, using at least three primary philosophic sources from varied ethical traditions."
21002,Introduction to Formal Logic,PHIL,departmental special approval before registration,"Techniques of formal logic, traditional and contemporary."
21003,Ethics in Contemporary Contexts,PHIL,departmental special approval before registration,"Interactions of ethical standards, sanctions, conflicts and priorities within contemporary contexts (legal, political, religious, professional, commercial, individual) having their own standards and logic."
21020,Comparative Religious Thought I,PHIL,departmental special approval before registration,"Philosophic study of the religious impulse as it manifests itself variously in beliefs, practices and institutions ranging over times and cultures."
21021,Comparative Religious Thought II,PHIL,departmental special approval before registration,"Comparative exploration in depth of three religions, selected to represent a Western religion, an Eastern religion and a religion often overlooked in traditional comparative studies."
30005,Contemporary Moral Issues,PHIL,departmental special approval before registration,"Philosophical examination of at least four issues currently debated in society—e.g., gun control, capital punishment, welfare and economic disparity, pornography, affirmative action, excluding ethical issues in medicine."
30015,Medicine and Morality,PHIL,departmental special approval before registration,"A philosophical exploration of at least three issues related to current medical practices, which may include ethical, religious, legal and clinical aspects. Prerequisites: none.30025 Environmental Philosophy (3)A philosophical examination of conceptions of nature and the relations between human beings and the natural world with emphasis on exploring connections between environment and science, the humanities, law, religion, ethics or aesthetics."
30025,Environmental Philosophy,PHIL,departmental special approval before registration,"A philosophical examination of conceptions of nature and the relations between human beings and the natural world with emphasis on exploring connections between environment and science, the humanities, law, religion, ethics or aesthetics."
31001,Ancient Greek Philosophy,PHIL,departmental special approval before registration,"Examination of issues of Greek thought from its inception through Plato and Aristotle. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31002 Medieval Philosophy (3)Examination of issues in medieval thought; for instance, the existence and nature of God and the problem of universals. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001, 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31003 Continental Rationalism (3)Selections from Rationalists; for instance, Descartes, Spinoza and Leibniz. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31004 British Empiricism (3)Selections from British empiricists; for instance, Locke, Berkeley and Hume. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31005 German Critical Philosophy (3)Selections from Kant and post-Kantians. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31006 Nineteenth-Century Philosophy (3)Selections from works of 19th-century philosophers. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31010 Twentieth-Century Philosophy (3)Selections from the most influential schools of thought within 20th-century philosophy: existentialism, pragmatism, logical positivism, analytic philosophy, phenomenology. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31020 American Philosophy (3)Selections from principal American philosophers from Colonial times to present. Prerequisites: at least one of PHIL 11009 or 21002 or 30145; and at least one of PHIL 11001 or 21001. This course may be used to satisfy the writing-intensive course requirement with approval of major department.31030 Existentialism (3)Development and themes of existentialism."
