Course Number,Course Name,Department,Prerequisites,Description
34003,Radiation Therapy Principles/Practice I,RIS,radiologic and imaging sciences (RIS) major,"An overview of cancer, radiation therapy and its physical and technical aspects. Includes the roles/ responsibilities of the therapist, treatment parameters, documentation and delivery of patient care, education and procedures. IP grade permissible."
34004,Radiation Therapy Patient Management,RIS,radiologic and imaging sciences (RIS) major,"Provides the basic concepts in patient assessment and evaluation. Includes communication skills, infection control, nutrition, medications, exams, emergencies, patient transfer techniques, medical ethics and law as applied to radiation therapy. IP grade permissible."
34008,Radiation Therapy Physics I,RIS,radiologic and imaging sciences (RIS) major,"Introduction to radiation therapy physics, including the fundamentals of atomic structure, radiation properties, radiation production, radiation quality, interactions of radiation with matter and principles of radiation detectors. IP grade permissible."
34030,Radiation Therapy Clinical Education I,RIS,radiologic and imaging sciences (RIS) major,"Observation and supervised clinical education with emphasis on administering radiation therapy treatments, simulation, block formation and patient care. Students are assigned to a clinical education site for approximately 16 hours per week. IP grade permissible."
34042,Abdominal Sonography I,RIS,radiologic and imaging sciences (RIS) major,"Anatomy, physiology and pathology of the abdomen; instrumentation and scanning techniques; normal and abnormal sonographic appearances of abdominal structures will be presented."
34044,Ultrasound Physics and Instrumentation,RIS,radiologic and imaging sciences (RIS) major,"Ultrasound principles to include interaction of sound with matter, propagation of sound in tissue, physical units, transducer parameters, image storage and display, quality assurance, bioeffects, image artifacts and physical principles of Doppler."
34045,Ultrasound Clinical Education I,RIS,radiologic and imaging sciences (RIS) major,"Provides clinical education and experience at a clinical site to allow students the opportunity to practice skills necessary to obtain high quality sonographic images, to alter protocols based on patients and to identify image quality problems. IP grade permissible."
34052,Abdominal Sonography II,RIS,radiologic and imaging sciences (RIS) major,"Continuation of RIS 34042; anatomy, physiology and pathology of the abdomen; instrumentation and sonographic scanning techniques; normal and abnormal sonographic appearance of abdominal structures are presented. Prerequisites: RIS 34042 and radiologic and imaging sciences (RIS) major.34055 Ultrasound Clinical Education II (3)Provides clinical education and experience in abdominal sonography at clinical sites to allow students the opportunity to practice skills necessary to obtain high quality sonographic images, to alter protocols based on patients and to evaluate image quality."
34042,and radiologic and imaging sciences (RIS) major.34055 Ultrasound Clinical Education II,RIS,radiologic and imaging sciences (RIS) major,"Provides clinical education and experience in abdominal sonography at clinical sites to allow students the opportunity to practice skills necessary to obtain high quality sonographic images, to alter protocols based on patients and to evaluate image quality."
34045,and radiologic and imaging sciences (RIS) major.34062 Obstetrics and Gynecology Sonography I,RIS,radiologic and imaging sciences (RIS) major,"Anatomy and pathophysiology of the non-pregnant female pelvis; instrumentation and scanning techniques; normal and abnormal sonographic appearances; and findings of the female reproductive tract are covered. Prerequisites: RIS 34045 and radiologic and imaging sciences (RIS) major.34065 Ultrasound Clinical Education III (2)Provides clinical education and experience at a clinical sites to allow students the opportunity to practice skills necessary to obtain high quality sonographic images, to alter protocols based on patients and to identify image quality problems. IP grade permissible."
34045,and radiologic and imaging sciences (RIS) major.34065 Ultrasound Clinical Education III,RIS,radiologic and imaging sciences (RIS) major,"Provides clinical education and experience at a clinical sites to allow students the opportunity to practice skills necessary to obtain high quality sonographic images, to alter protocols based on patients and to identify image quality problems. IP grade permissible."
34055,and radiologic and imaging sciences (RIS) major.34082 Small Parts Sonography,RIS,radiologic and imaging sciences (RIS) major,"Anatomy and pathophysiology of superficial structures; instrumentation and scanning techniques; normal and abnormal sonographic appearances of superficial structures; correlation with laboratory findings and other imaging modalities are presented. Prerequisites: RIS  34083 and radiologic and imaging sciences (RIS) major.34083 Sectional Anatomy in Medical Imaging (3)Presentation of sectional anatomy of the body in the transverse (axial), sagittal and coronal planes as seen in medical images in CT, MRI and diagnostic medical sonography. Prerequisites: radiologic and imaging sciences (RIS) major; and BSCI 11000 or 11020 or 20020.34084 Computed Tomography and Magnetic Resonance Imaging Sectional Anatomy I (2)Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance imaging. Includes orientation of organs and structures and pathological processes present in images."
34083,and radiologic and imaging sciences (RIS) major.34083 Sectional Anatomy in Medical Imaging,RIS,radiologic and imaging sciences (RIS) major,"Presentation of sectional anatomy of the body in the transverse (axial), sagittal and coronal planes as seen in medical images in CT, MRI and diagnostic medical sonography. Prerequisites: radiologic and imaging sciences (RIS) major; and BSCI 11000 or 11020 or 20020.34084 Computed Tomography and Magnetic Resonance Imaging Sectional Anatomy I (2)Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance imaging. Includes orientation of organs and structures and pathological processes present in images."
11000,or 11020 or 20020.34084 Computed Tomography and Magnetic Resonance Imaging Sectional Anatomy I,RIS,radiologic and imaging sciences (RIS) major,Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance imaging. Includes orientation of organs and structures and pathological processes present in images.
34086,Computed Tomography and Magnetic Resonance Imaging Sectional Anatomy II,RIS,radiologic and imaging sciences (RIS) major,Presentation of sectional anatomy of the human body in computed tomography and magnetic resonance imaging. Includes orientation of organs and structures and pathological processes present in images as seen in the extremities.
34084,and radiologic and imaging science (RIS) major.41095 Special Topics in Radiologic and Imaging Sciences (1-3)Courses will consist of various topics in medical imaging designed to enhance learning outcomes. Prerequisites: radiologic and imaging sciences (RIS) major.44001 Patient Management in Nuclear Medicine,RIS,radiologic and imaging sciences (RIS) major,"Provides the student with a working knowledge of a health care facility’s function, basic patient care skills, emergency care, patient communications and professionalism. Interactions and care of diverse populations will also be addressed. Course enables the student to provide appropriate care for the patient while undertaking any nuclear medicine procedure. Corequisite: RIS 44002 and 44005 and 44006 and 44011 and radiologic and imaging sciences (RIS) major.44002 Nuclear Medicine Procedures I (3)An introduction to imaging “in vivo” nuclear medicine procedures. Course focuses on the biological, anatomical and physiological aspects involving the skeletal, cardiovascular, respiratory, genitourinary and gastrointestinal organ systems."
44002,and 44005 and 44006 and 44011 and radiologic and imaging sciences (RIS) major.44002 Nuclear Medicine Procedures I,RIS,radiologic and imaging sciences (RIS) major,"An introduction to imaging “in vivo” nuclear medicine procedures. Course focuses on the biological, anatomical and physiological aspects involving the skeletal, cardiovascular, respiratory, genitourinary and gastrointestinal organ systems."
44005,Nuclear Medicine Clinical Education I,RIS,radiologic and imaging sciences (RIS) major,"Provides clinical experience at assigned clinical site. Includes orientation to program and policies, observation of procedures, patient management, radiation safety, equipment orientation and the competency procedure. IP grade permissible."
44006,Nuclear Medicine Physics and Instrumentation I,RIS,radiologic and imaging sciences (RIS) major,"Presents concepts and physical principles of nuclear medicine physics including interactions with matter. Also presents information on radiation detectors and their applications, functions and limitations."
44010,Nuclear Medicine Clinical Education II,RIS,radiologic and imaging sciences (RIS) major,"Continuation of RIS 44005. Students apply principles of patient care, structure and function, physics, instrumentation, radiation safety and protection, imaging techniques and radiopharmacy to clinical education. Students begin performing clinical competency exams. IP grade permissible."
44011,Nuclear Medicine Radiopharmacy,RIS,radiologic and imaging sciences (RIS) major,"Includes methodologies, calculations and basic properties of radiopharmaceuticals. Radiopharmaceutical chemistry is applied. Localization methods, quality control and radiation safety issues are examined. Non-radioactive interventional drugs, radiopharmacy management and governing rules and regulations are also explored. Corequisites: RIS 44001 and 44002 and 44005 and 44006 and radiologic and imaging science (RIS) major.44012 Nuclear Medicine Procedures II (3)Emphasis on the biological, anatomical and physiological aspects of nuclear medicine procedures involving the endocrine and central nervous systems, as well as inflammatory, tumor, miscellaneous and pediatric studies. Prerequisites: RIS 44001 and 44002 and 44005 and 44006 and 44010. Corequisites: RIS 44011 and 44014 and 44015 and 44017.44013 Radiation Therapy Principles/Practice II (3)Examines the multidisciplinary treatment approaches. Consists of advanced topics in therapy, chemotherapy, immunotherapy and surgical interventions for combined modalities, for benign conditions and for managing side effects and emergencies. IP grade permissible."
