Course Number,Course Name,Department,Prerequisites,Description
16000,Foundations of Recreation and Leisure,RPTM,none,"Historical examination of the park and recreation movement; sociological, economic, psychological and political considerations for the delivery of leisure and recreation services in contemporary society."
26000,Computer Applications in Recreation and Sport,RPTM,none,This course focuses on the personal computer and its general function and uses in a recreation and sport environment. Students learn a wide variety of applications and programs pertinent to the recreation and sport industry.
16000,or ATTR 15011.26001 Introduction to Community Inclusion of  Individuals with Disabilities,RPTM,none,"Interdisciplinary exploration of conceptual, theoretical, philosophical and legal aspects related to inclusion of individuals with disabilities in community life."
26010,Community Development in Recreation,RPTM,none,"Explores the contemporary and historical roles, organization and services of public and nonprofit leisure service providers. Includes various theoretical perspectives on community organization and development, as well as methods available to the recreation practitioner to facilitate the development of recreation services in communities."
26030,Recreation Group Leadership,RPTM,none,"Group leadership concepts, methods and techniques. Practical experience in planning and conducting recreational activities for a variety of populations."
26060,Introduction to Global Tourism,RPTM,none,"(Cross-listed with GEOG 22040) Introduction to travel and tourism around the world, including tourism technologies, cultural and natural environments as attractions, benefits of travel, travel ethics and sustainable development."
26071,Maintenance and Operation of Areas and Facilities,RPTM,none,"A systems approach for the effective maintenance and operation of areas and facilities. Prerequisites: RPTM 16000.26080 Introduction to Therapeutic Recreation (3)Introduction to the profession of therapeutic recreation. Includes history, philosophy, settings and populations served and an overview of therapeutic recreation process."
26080,Introduction to Therapeutic Recreation,RPTM,none,"Introduction to the profession of therapeutic recreation. Includes history, philosophy, settings and populations served and an overview of therapeutic recreation process."
26081,Principles of Outdoor Recreation,RPTM,none,"Introduction to outdoor recreation, including the history, economics, resources, management, education and environmental aspects."
36010,"Recreation, Leisure and Aging",RPTM,none,Knowledge and understanding of leisure and aging. Planning and implementing recreational programs and activities for enriching the lives of older persons.
36040,Inclusion of People with Disabilities in Leisure Services,RPTM,none,"An examination of attitudes toward people with disabilities, characteristics of various disability groups, the role and responsibility of leisure service providers to be inclusive of all individuals and techniques for adapting programs."
36060,Commercial Recreation and Tourism,RPTM,none,"Principles of commercial recreation and tourism services, including entrepreneurship, economic concepts of the for-profit recreation industries and management skills."
36075,Program Design and Evaluation,RPTM,none,"Programming leisure services within a socio-cultural context, involving understanding and assessing client behavior and needs, proficiency in program design and implementation and knowledge of evaluation methods reflective of a service-centered and benefits approach."
