Course Number,Course Name,Department,Prerequisites,Description
18201,Elementary Spanish I,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,An introduction to the Spanish language in the context of Hispanic cultures.
18202,Elementary Spanish II,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,A continuation of the introduction to the Spanish language in the context of Hispanic cultures.
18301,Spanish for Health Care I,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Introduction to the Spanish language in the context of health care situations, tasks and terminology and Hispanic cultures."
18302,Spanish for Health Care II,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"A continuation of the introduction to the Spanish language in the context of health care situations, tasks and terminology and Hispanic cultures."
28201,Intermediate Spanish I,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material on the Spanish language in the context of Hispanic cultures."
28202,Intermediate Spanish II,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material on the Spanish language in the context of Hispanic cultures and specific areas of study like culture, business, justice, etc. Credit may be given for SPAN 28202 or 28206, but not for both."
28202,"or 28206, but not for both. Prerequisite: SPAN 28201.28206 Spanish Reading for Comprehension",SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Further develops skills and techniques for understanding written Spanish; conducted in English. Credit not applicable toward Spanish major or minor. Students may obtain credit in SPAN 28202 or 28206, but not both."
28202,"or 28206, but not both. Prerequisite: SPAN 28201.28207 Business Spanish I",SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Terminology, organization and modes of communication prevalent in modern business world of Spain and Latin America. Presentation of materials followed by practical exercises organized in situational units. Prerequisites: SPAN 28202 and special approval.28208 Business Spanish II (3)Terminology, organizations and modes of communication prevalent in modern Spanish business world. Presentation of materials is followed by practical exercises organized in situational units."
28202,and special approval.28208 Business Spanish II,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Terminology, organizations and modes of communication prevalent in modern Spanish business world. Presentation of materials is followed by practical exercises organized in situational units."
28209,"Field Study (1-6)*(Repeatable for a total of 6 credit hours) For residence and/or field research in a Spanish-speaking community. Prior to registering for this course, students must obtain departmental approval. IP grade permissible. Prerequisite: special approval.28212 Studies in Grammar",SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,This course provides a comprehensive grammar review for students who need to improve their skills prior to taking advanced language courses.
38211,Spanish Grammar and Composition,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,This course provides an intensive grammar study and further written practice to help advanced intermediate students express complex ideas in Spanish.
38213,Spanish Reading and Conversation,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,This course provides reading techniques and develops oral skills to help advanced intermediate students express complex ideas in Spanish.
38215,Spanish Phonetics and Diction,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,Study of the modern Spanish sound system with special emphasis on pronunciation and intonation.
38231,Translation Practice: Spanish,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,Translation practice with Spanish texts using principles and techniques learned in the lecture class. Corequisite: MCLS 30230.38240 Conversation for Business and Special Purposes: Spanish (3)Introduction to the special vocabulary of business and other special subject areas. Introduces the concept of language for special purposes and emphasizes the use of special vocabularies in conversations in business and other settings.
38240,Conversation for Business and Special Purposes: Spanish,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,Introduction to the special vocabulary of business and other special subject areas. Introduces the concept of language for special purposes and emphasizes the use of special vocabularies in conversations in business and other settings.
38330,Early Spanish Literature,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Outline of development, reading of representative works, to 1700."
38331,Recent Spanish Literature,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Outline of development, reading of representative works, 1700-present."
38334,Early Spanish-American Literature,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Outline of development, reading of representative works, including indigenous literature, 1492-1882."
38335,Recent Spanish-American Literature,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,Outline of the development of modern Spanish-American literature (1882 to the present). Reading of representative works.
1882,to the present). Reading of representative works. Prerequisite: SPAN 38211. This course may be used to satisfy the writing-intensive requirement with approval of major department.38421 Civilization of Spain,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,General survey of evolution of Spanish civilization from antiquity to present day.
38424,Culture and Civilization of Latin America,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,A thematic approach to the study of four or five representative Latin American countries focusing on 19th- and 20th-century Latin American culture and society.
48093,Variable Title Workshop in Spanish (1-6)Workshops individually designed to provide instruction and training in specific areas of Hispanic studies. S/U grading. Prerequisite: departmental special approval.48095 Selected Topics in Spanish,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,(Repeatable for a total of 9 credit hours) Topic announced in Schedule of Classes.
20000,"level of Spanish (SPAN) courses.48096 Individual Investigation (1-3)(Repeatable for a total of 6 credit hours) Allows the advanced, serious student to carry out research/study project on Spanish literature, language or culture. Prior approval of supervising faculty member, department required. IP grade permissible. Prerequisite: special approval.48215 Advanced Spanish Composition and Conversation",SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"Focuses on description, summary, narration, exposition and argumentation on topics dealing with diverse areas of Hispanic culture as presented through literary and non-fiction texts."
38211,and 38213 and one of the following: SPAN 38330 or 38331 or 38334 or 38335.48216 Contemporary Hispanic Culture,SPAN,6 credit hours from SPAN 38330 and 38331 and 38334 and 38335,"A study of selected sociological, political, cultural or economic issues in the contemporary Hispanic world."
