Course Number,Course Name,Department,Prerequisites,Description
19201,American Sign Language I,SPED,special approval,(Cross-listed with ASL 19201) An introduction to American Sign Language and deaf culture. Development of beginning visual-receptive ASL skills and introductory expressive skills.
19202,American Sign Language II,SPED,special approval,(Cross-listed with ASL 19202) A continuation of the introduction to American Sign Language and deaf culture. Continued development of basic visual-receptive ASL skills and expressive skills.
19201,or SPED 19201.23000 Introduction to Exceptionalities,SPED,special approval,"Introduction to student exceptionalities, service delivery/placement options and multidisciplinary team process. Focus on identification of characteristics, definition and identification procedures of students with exceptionalities. Fifteen clinical hours."
29201,American Sign Language III,SPED,special approval,"(Cross-listed with ASL 29201) Development of ASL fluency in expressive and receptive mode to intermediate level. Continue to increase awareness of deaf cultural values, customs and conversational habits."
19202,or SPED 19202.29202 American Sign Language IV,SPED,special approval,"(Cross-listed with ASL 29202) Development of ASL fluency in expressive and receptive mode to beginning advanced. Continue to increase awareness of deaf cultural values, customs and conversational habits."
29201,or SPED 29201.39201 American Sign Language V,SPED,special approval,"(Cross-listed with ASL 39201) Development of ASL fluency in expressive/receptive modes to advanced levels to enable communication at conversational speed with unfamiliar deaf individuals. Focus on differences in sign according to gender and age. Increased awareness of deaf cultural values, customs, conversational habits. Prerequisites: ASL 29202 or SPED 29202 and admission to advanced study.39202 American Sign Language VI (3)(Cross-listed with ASL 39202) ASL fluency expressive and receptive modes to advanced levels; enable fluent communication with unfamiliar deaf individuals using culturally, situationally, gender and register-specific conversational repair strategies when needed. Increased awareness of deaf cultural values. Prerequisites:ASL 30201 or SPED 39201 and admission to advanced study.40093 Workshop in Special Education (1-5)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State University faculty and other institutions. Offered irregularly. S/U grading; IP grade permissible."
29202,or SPED 29202 and admission to advanced study.39202 American Sign Language VI,SPED,special approval,"(Cross-listed with ASL 39202) ASL fluency expressive and receptive modes to advanced levels; enable fluent communication with unfamiliar deaf individuals using culturally, situationally, gender and register-specific conversational repair strategies when needed. Increased awareness of deaf cultural values. Prerequisites:ASL 30201 or SPED 39201 and admission to advanced study.40093 Workshop in Special Education (1-5)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State University faculty and other institutions. Offered irregularly. S/U grading; IP grade permissible."
30201,or SPED 39201 and admission to advanced study.40093 Workshop in Special Education (1-5)Topics of special interest to students desiring to intensify their knowledge in particular areas. Presenters include Kent State University faculty and other institutions. Offered irregularly. S/U grading; IP grade permissible. Prerequisite: none.43010 Family and Professional Collaboration,SPED,special approval,"This course provides knowledge and strategies for working with family members of exceptional individuals and members of related professions which provide services to them. Use of collaborative, interdisciplinary and interagency models in special education. Twenty-hour clinical and 10-hour field work. Prerequisites: SPED 23000 and admission to advanced study. 43020 Assessment in Special Education (3)Use/interpretation normed, criterion-referenced and informal curriculum-based assessments for students with mild/moderate disabilities. Standards-based alternative assessments for students with intensive needs. 10 field and 20 clinical hours. Prerequisites: admission to advance study and CI 47501 and 47504. Corequisite: SPED 44092 or 44192or 43392 or 43992. Special fee: $60 flat fee—subject to change. This course may be used to satisfy the writing-intensive requirement with approval of major department.43030 Applied Behavior Analysis I: Theory and Techniques (3)Theory and techniques associated with applied behavior analysis. Approaches for establishing, implementing, maintaining and monitoring skill development are emphasized. Procedures for assessing and modifying classroom environments/instructional techniques to enhance learning/behavior of individuals with disabilities, with specific emphasis on preventing, increasing positive and decreasing inappropriate behavior are introduced. Includes 25 field hours. Prerequisites: SPED 23000 and admission to advanced study.43031 Applied Behavior Analysis II: Application (3)Equips students with the skills necessary to integrate the technology of applied behavior analysis (as learned in SPED 43030,Applied Behavior Analysis I) with the analytical skills necessary to prevent, teach, management and assess behavior. Specific behavioral interventions are presented. Includes 40 hours of field work. Prerequisites: SPED 43030 and admission to advanced study.43040 Language and Reading in Special Education (3)Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting instructional techniques, materials, assessments to meet the needs of learners with disabilities. Includes 15-hour clinical and 15-hour field work.  Prerequisites: admission to advanced study and ECED 40105 and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs (3)Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
23000,and admission to advanced study. 43020 Assessment in Special Education,SPED,special approval,"Use/interpretation normed, criterion-referenced and informal curriculum-based assessments for students with mild/moderate disabilities. Standards-based alternative assessments for students with intensive needs. 10 field and 20 clinical hours. Prerequisites: admission to advance study and CI 47501 and 47504. Corequisite: SPED 44092 or 44192or 43392 or 43992. Special fee: $60 flat fee—subject to change. This course may be used to satisfy the writing-intensive requirement with approval of major department.43030 Applied Behavior Analysis I: Theory and Techniques (3)Theory and techniques associated with applied behavior analysis. Approaches for establishing, implementing, maintaining and monitoring skill development are emphasized. Procedures for assessing and modifying classroom environments/instructional techniques to enhance learning/behavior of individuals with disabilities, with specific emphasis on preventing, increasing positive and decreasing inappropriate behavior are introduced. Includes 25 field hours. Prerequisites: SPED 23000 and admission to advanced study.43031 Applied Behavior Analysis II: Application (3)Equips students with the skills necessary to integrate the technology of applied behavior analysis (as learned in SPED 43030,Applied Behavior Analysis I) with the analytical skills necessary to prevent, teach, management and assess behavior. Specific behavioral interventions are presented. Includes 40 hours of field work. Prerequisites: SPED 43030 and admission to advanced study.43040 Language and Reading in Special Education (3)Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting instructional techniques, materials, assessments to meet the needs of learners with disabilities. Includes 15-hour clinical and 15-hour field work.  Prerequisites: admission to advanced study and ECED 40105 and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs (3)Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
47501,and 47504. Corequisite: SPED 44092 or 44192or 43392 or 43992. Special fee: $60 flat fee—subject to change. This course may be used to satisfy the writing-intensive requirement with approval of major department.43030 Applied Behavior Analysis I: Theory and Techniques,SPED,special approval,"Theory and techniques associated with applied behavior analysis. Approaches for establishing, implementing, maintaining and monitoring skill development are emphasized. Procedures for assessing and modifying classroom environments/instructional techniques to enhance learning/behavior of individuals with disabilities, with specific emphasis on preventing, increasing positive and decreasing inappropriate behavior are introduced. Includes 25 field hours. Prerequisites: SPED 23000 and admission to advanced study.43031 Applied Behavior Analysis II: Application (3)Equips students with the skills necessary to integrate the technology of applied behavior analysis (as learned in SPED 43030,Applied Behavior Analysis I) with the analytical skills necessary to prevent, teach, management and assess behavior. Specific behavioral interventions are presented. Includes 40 hours of field work. Prerequisites: SPED 43030 and admission to advanced study.43040 Language and Reading in Special Education (3)Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting instructional techniques, materials, assessments to meet the needs of learners with disabilities. Includes 15-hour clinical and 15-hour field work.  Prerequisites: admission to advanced study and ECED 40105 and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs (3)Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
23000,and admission to advanced study.43031 Applied Behavior Analysis II: Application,SPED,special approval,"Equips students with the skills necessary to integrate the technology of applied behavior analysis (as learned in SPED 43030,Applied Behavior Analysis I) with the analytical skills necessary to prevent, teach, management and assess behavior. Specific behavioral interventions are presented. Includes 40 hours of field work. Prerequisites: SPED 43030 and admission to advanced study.43040 Language and Reading in Special Education (3)Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting instructional techniques, materials, assessments to meet the needs of learners with disabilities. Includes 15-hour clinical and 15-hour field work.  Prerequisites: admission to advanced study and ECED 40105 and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs (3)Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
43030,and admission to advanced study.43040 Language and Reading in Special Education,SPED,special approval,"Instructional approaches to teaching reading/language arts to students with disabilities. Emphasis on adapting instructional techniques, materials, assessments to meet the needs of learners with disabilities. Includes 15-hour clinical and 15-hour field work.  Prerequisites: admission to advanced study and ECED 40105 and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs (3)Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
40105,and 40126; and CI 47504; and admission to advanced study.43050 Characteristics of Students with Mild/Moderate Intervention Needs,SPED,special approval,"Definitions, causes and characteristics and social and educational implications of learning, developmental and emotional/behavioral disorders of students identified with mild/moderate disabilities. Methods of assessment and interventions; current issues. Ten-hour clinical and 10-hour field work."
43051,Characteristics of Students with Moderate/ Intensive Intervention Needs,SPED,special approval,"Overview of specific facets and causes of severe disabilities, physical/psychological aspects, family/societal responses, political trends, etiology and medical implications, educational and vocational programming, assessment and treatment planning, assistive technology. Ten-hour clinical and 10-hour field work."
43060,Curriculum Methods in Special Education,SPED,special approval,"Curriculum development, programming, delivery for students with mild, moderate or intensive disabilities. Emphasis on application of state standards to IEP development. Adapting instructional techniques, materials, assessment to meet needs. Includes 33 hours of field and clinical work."
43062,Curriculum Methods Mild/Moderate Intervention,SPED,special approval,"Delivery and adaptation of evidence-based practices for students with mild/moderate disabilities. Emphasis on achievement in general curriculum. Training to mentor other professionals. Prerequisites: SPED 43060 and admission to advanced study.43063 Curriculum Methods II: Moderate/Intensive Intervention (3)Meeting academic, socialization, health, motor skills, communication needs in inclusive setting. Working with paraprofessionals to provide community-based instruction, assessment, observation, record-keeping, IEPS and ITPS, lesson plans. Prerequisites: SPED 43020 and 43030 and 43061. Corequisites: SPED 44192 and 43040 and admission to advanced study.43070 Planning and Programming for Transitions (3)Addresses life span community participation and the planning, support development, and services available to accomplish it. Introduction to community agencies and adult services. Ten-hours of clinical and 15-hours of field work. Prerequisites: SPED 43050 or 43051 and admission to advanced study.43080 Assistive Technology for Students with Disabilities (3)Examines application of high and low technology assistive devices for students with intensive intervention needs. Analysis of technology needs; selection/development of technology; training/evaluation of technology use by students. Includes 20 hours of clinical work. Prerequisites: SPED 43050 and 43051 and admission to advanced study.43092 Deaf Residential School Experience (1-3)(Cross-listed with ASL 49092) Week-long practicum at a residential school for the deaf; 24-hour interaction with deaf students and adults. Students stay on campus. Conduct, interaction, sign language skills, maturity, responsibility and performance is evaluated by staff at the school. S/U grading. Prerequisites: ASL 29202 or SPED 29202 with a minimum grade of B- (2.7); and SPED 43309 with a minimum grade of B- (2.7); and admission to advanced study.43100 Survey of the Interpreting Profession(3)Issues and concerns facing educational interpreters; legal mandates and constraints; ethical guidelines and their application to educational environments; roles/responsibilities, including sign interpreting/ transliterating, team membership, classroom and building roles and negotiating the educational environment."
