Course Number,Course Name,Department,Prerequisites,Description
10001,Information Technology,TECH,junior standing,Introduction to the operation and use of computer systems in technology-related applications. Laboratory assignments include the use of microcomputers for solving technical problems.
11071,Woods Technology I,TECH,junior standing,"Provides experience in fundamental hand and machine processes in wood fabrication. Projects are designed, planned and constructed by the student according to curricular needs and interests."
11083,Technical Drawing and Sketching,TECH,junior standing,"State-of-the-art experiences and fundamentals of sketching, lettering, blueprint reading, orthographic projection, dimensioning, sectioning, single and double auxiliaries, isometric, oblique, perspectives and fasteners."
13580,Engineering Graphics I,TECH,junior standing,"Technique of engineering drawing, lettering, instrument use, freehand drawing, orthogonal projection, sections, single and double auxiliaries, dimensioning, screw threads, charts and graphs."
15000,Introduction to Aeronautics,TECH,junior standing,"Introduction to aeronautical and aerospace technology including historical development, underlying science and technical applications. The past, present and future social-economic, technical and political impacts of aviation are also explored."
15100,Women and Minorities in Aviation,TECH,junior standing,"Course examines the roles and contributions of women and minorities in aviation and the historical, social, technological and political impact they have had on aviation and the aerospace industry."
15250,FAA Orientation,TECH,junior standing,"Introduction to the Federal Aviation Administration with particular emphasis on its role and impact on air traffic management and the National Airspace System (NASA). Course addresses the unique aspects and requirements of federal employment, as well as federal regulations affecting flight operations and the FAA’s associated supporting agencies."
15740,Elements of Flight Theory,TECH,junior standing,"Basic instruction in all areas which gives the student aeronautical knowledge required for a private pilot certificate. IP grade permissible. Corequisite: TECH 15741.15741 Private Pilot Flight (3)Flight course designed to fulfill FAA requirements for private pilot certificate. IP grade permissible. Prerequisites: TECH 15000 and 2.50 GPA. Corequisite: TECH 15740. Special fee: $7,000 flat fee—subject to change.15742 Private Pilot Helicopter Flight (3)Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH  15740 and cumulative GPA of 2.50. Corequisite: TECH 35101.15743 Private Pilot Helicopter Flight Add-On (2)Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH 15742 and cumulative GPA of 2.0. Corequisite: TECH 35101.20001 Energy/Power (3)Study of basic thermodynamic laws and how they apply to the conversion and transfer of heat energy into useful power."
15741,Private Pilot Flight,TECH,junior standing,"Flight course designed to fulfill FAA requirements for private pilot certificate. IP grade permissible. Prerequisites: TECH 15000 and 2.50 GPA. Corequisite: TECH 15740. Special fee: $7,000 flat fee—subject to change.15742 Private Pilot Helicopter Flight (3)Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH  15740 and cumulative GPA of 2.50. Corequisite: TECH 35101.15743 Private Pilot Helicopter Flight Add-On (2)Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH 15742 and cumulative GPA of 2.0. Corequisite: TECH 35101.20001 Energy/Power (3)Study of basic thermodynamic laws and how they apply to the conversion and transfer of heat energy into useful power."
15000,"and 2.50 GPA. Corequisite: TECH 15740. Special fee: $7,000 flat fee—subject to change.15742 Private Pilot Helicopter Flight",TECH,junior standing,Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH  15740 and cumulative GPA of 2.50. Corequisite: TECH 35101.15743 Private Pilot Helicopter Flight Add-On (2)Flight course designed to fulfill Federal Aviation Administration (FAA) requirements for the private pilot helicopter certificate. Prerequisites: TECH 15742 and cumulative GPA of 2.0. Corequisite: TECH 35101.20001 Energy/Power (3)Study of basic thermodynamic laws and how they apply to the conversion and transfer of heat energy into useful power.
