Course Number,Course Name,Department,Prerequisites,Description
11000,The Art of the Theatre,THEA,special approval,"Using the life-centered nature of theatre as a medium of analysis, this course is designed to develop critically engaged audience members who are aware of the impact, significance and historical relevance of the interconnection between culture and theatre performance."
11303,The Art of Acting,THEA,special approval,"General introduction to acting: the actor’s instrument, sensory awareness, personal and group response, objectives and tactics. Basic scene work."
11522,Introductory Lighting,THEA,special approval,"An introduction to the art of lighting design, historical and technical perspectives. Emphasis on principles of design within a collaborative process. Two lecture hours plus two laboratory hours per week."
11524,Introductory Costuming,THEA,special approval,"Principles, theories and basic skills of costume design and technology. Emphasis on aesthetics, the design process, fabric, construction techniques and craft materials. Two lecture hours plus two laboratory hours per week."
11622,Introductory Scenery,THEA,special approval,"Principles, theories and basic skills of scenic design and technology. Emphasis on design elements, process of applied construction skills. Two lecture hours plus two laboratory hours per week."
21016,Makeup for Stage and Screen,THEA,special approval,"Study of stage, TV and photographic makeup techniques and materials. Four lecture-demonstration-laboratory hours per week; special projects as assigned."
21017,Oral Interpretation,THEA,special approval,"Theory and practice in art of interpreting literature orally; selection of material, literary analysis and solo performance techniques. Three lecture-laboratory hours per week."
11340,and special approval.21095 Special Topics in Theatre (1-3)(Repeated registration permitted). Offered irregularly when unusual resources permit a topic different from existing courses. Topic will be announced when scheduled. Prerequisite: special approval.21111 Script Analysis,THEA,special approval,"Principles, theories and techniques of play script analysis for theatrical production."
21303,Acting Process,THEA,special approval,"Fundamentals of naturalistic acting and interaction; development of spontaneity, believability and a sense of truth; game playing and basic stage technique. Prerequisites: THEA 11303 or 21306 and special approval.21306 Musical Theatre Performance I (3)*(Repeatable for up to 12 credit hours) Performance-oriented class that will focus on techniques and styles of performance in musical theatre and cabaret from Gilbert and Sullivan to present."
11303,or 21306 and special approval.21306 Musical Theatre Performance I,THEA,special approval,*(Repeatable for up to 12 credit hours) Performance-oriented class that will focus on techniques and styles of performance in musical theatre and cabaret from Gilbert and Sullivan to present.
