Course Number,Course Name,Department,Prerequisites,Description
13000,Introduction to Visual Communication Design I,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Introduction to the design and illustration program in visual communication design as well as the design profession. Focus on historical overview, industry standards, job opportunities, creative design process and skills needed to succeed. Prerequisites:photo illustration (PHOI) or visual communication design (VCD) major.13001 Introduction to Visual Communication Design II (3)Introduction to basic design processes using research, writing, conceptual problem-solving and format organization of two-dimensional space utilizing type and imagery. Prerequisites: VCD 13000. Special fee: $15 flat fee—subject to change.17000 Color: Theory and and Application (3)Color and its interaction through a series of nonapplied (abstract) exercises."
13001,Introduction to Visual Communication Design II,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Introduction to basic design processes using research, writing, conceptual problem-solving and format organization of two-dimensional space utilizing type and imagery. Prerequisites: VCD 13000. Special fee: $15 flat fee—subject to change.17000 Color: Theory and and Application (3)Color and its interaction through a series of nonapplied (abstract) exercises."
17000,Color: Theory and and Application,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,Color and its interaction through a series of nonapplied (abstract) exercises.
20000,Basic Computer Graphic Design and Illustration,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Introduction of basic operating system of Macintosh hardware and major design software for creation of layouts, vector and raster graphics. Explore production and peripheral equipment including scanners and printers."
20001,Sophomore Entrance Examination/Portfolio Review-Photo Illustration,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"VCD faculty review student portfolios of work from prerequisite and corequisite courses. A diagnostic examination to evaluate technical proficiency and formal organizational ability also is included in this review. Prerequisites: VCD 28002 and photo illustration (PHOI) major. Corequisites: VCD 20010 and 38003. 20003 Intermediate Computer Graphic Design and Illustration—Various Software Programs (3)A technical, studio course designed to teach the fundamentals of Web design in GoLive and Flash. Material is presented throughout a series of demos, exercises and projects. Prerequisites: VCD 20000. Special fee: $36 flat fee—subject to change.20006 Kinetic and Sequential Graphic Design (3)A technical, studio course designed to teach the fundamentals of newly emerging technologies including Web design in the visual communication design profession. Material will be presented through series of demos and hands-on exercises."
28002,and photo illustration (PHOI) major. Corequisites: VCD 20010 and 38003. 20003 Intermediate Computer Graphic Design and Illustration—Various Software Programs,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"A technical, studio course designed to teach the fundamentals of Web design in GoLive and Flash. Material is presented throughout a series of demos, exercises and projects. Prerequisites: VCD 20000. Special fee: $36 flat fee—subject to change.20006 Kinetic and Sequential Graphic Design (3)A technical, studio course designed to teach the fundamentals of newly emerging technologies including Web design in the visual communication design profession. Material will be presented through series of demos and hands-on exercises."
20006,Kinetic and Sequential Graphic Design,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"A technical, studio course designed to teach the fundamentals of newly emerging technologies including Web design in the visual communication design profession. Material will be presented through series of demos and hands-on exercises."
20003,and visual communication design (VCD) major.20009 Sophomore Entrance Examination/Portfolio Review,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Visual communication design faculty review a portfolio of work from prerequisite courses and administer diagnostic examinations of technical and drawing skills and formal organizational ability. S/U grading. Prerequisites: VCD 13000 and 13001 and 28000 and 28002 and 38003 (for PHOI majors); or VCD 13001 and 22000 and 22001 and 23001 and 23002 (for VCD majors); and photo illustration (PHOI) or visual communication (VCD) major. Special fee: $5 flat fee—subject to change.20010 Introduction to Design Research (3)Introduction to research methods used in the professional practice of visual communication design. Students are exposed to strategies, tactics and frameworks used in the creation of design artifacts."
13000,and 13001 and 28000 and 28002 and 38003 (for PHOI majors); or VCD 13001 and 22000 and 22001 and 23001 and 23002 (for VCD majors); and photo illustration (PHOI) or visual communication (VCD) major. Special fee: $5 flat fee—subject to change.20010 Introduction to Design Research,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Introduction to research methods used in the professional practice of visual communication design. Students are exposed to strategies, tactics and frameworks used in the creation of design artifacts."
23001,and visual communication design (VCD) major. 22000 Design/Illustration Techniques I,VCD,photo illustration (PHOI) or visual communication design (VCD) major; and senior standing,"Introductory course in design/illustration. Object drawing with emphasis toward rendering materials and techniques used in reproduction, perspective, spatial organization and use of reference material. Prerequisites: VCD 13001.22001 Design/Illustration Techniques II (3)Continuation of Design/Illustration Techniques I with expanded emphasis on black-and-white media used for illustration purposes, with emphasis on media capable of reproduction by traditional printing methods. Prerequisites: VCD 22000.23000 Intermediate Studio Skills: Graphic Design and Illustration (3)A technical lecture course designed to outline the process and describe and discuss the technologies and vocabulary used in the printing industry. Prerequisites: VCD 23001. Special fee: $33 flat fee—subject to change.23001 Introduction to Typography (3)Historical study of letter forms and their application to the development of new forms. Execution and use of letter forms as design elements in layout and illustration using fundamental typographic theories and rules of spatial organization. Prerequisites: minimum B (3.0) grade in VCD 13000 and 13001. Special fee: $12 flat fee—subject to change.23002 Introduction to 3D Graphic Design (3)Continuation of Introduction to Graphic Design and Introduction to Typography with application of typography and imagery to 3-D form. Prerequisites: VCD 13001 and 23001.24001 Product Design (3)Research and design of singular self-contained objects. Utilization of industrial materials and fabricating techniques emphasizing aesthetics. Prerequisites: VCD 24000. Special fee: $10 flat fee—subject to change.24009 Sophomore Portfolio Review (1)Preparation and review of a portfolio of work under supervision of industrial design faculty, to be judged at end of term. See Requirement 1 under Bachelor of Science in Industrial Design. Prerequisites: VCD 24000.27000 Interiors Rendering (3)The production of professional techniques in design communication using felt pens, chalks and pencils. Elevations, plans, furniture, perspectives, axonometrics and furnishings are produced in color. Prerequisites: TECH 11083. Special fee: $12 flat fee—subject to change.27001 Visual Design for Media: Basic (1)An introductory lecture course on the theoretical principles of design and their relation to content in magazines, newspapers, television and online media, etc. Course may not be used by visual communication design majors."
